,ResponseId,MainBranch,Employment,Country,US_State,UK_Country,EdLevel,Age1stCode,LearnCode,YearsCode,YearsCodePro,DevType,OrgSize,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSys,NEWStuck,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,NEWOtherComms,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,SurveyLength,SurveyEase,ConvertedCompYearly
2341,2342,I am a developer by profession,Employed full-time,Indonesia,,,Some college/university study without earning a degree,18 - 24 years,"Other online resources (ex: videos, blogs, etc);School",16,10,"Developer, front-end","1,000 to 4,999 employees",IDR	Indonesian rupiah,30000000.0,Monthly,HTML/CSS;JavaScript;Node.js;PHP;TypeScript,HTML/CSS;JavaScript;Node.js;PHP;TypeScript,MariaDB;MongoDB;MySQL,MariaDB;MySQL,DigitalOcean;Google Cloud Platform;Microsoft Azure,DigitalOcean;Microsoft Azure,Angular;Angular.js;Express;Gatsby;jQuery;Laravel;React.js;Vue.js,Express;Laravel;Vue.js,,,Docker;Git;Yarn,Docker;Git;Puppet,PHPStorm;Sublime Text;TextMate;Vim;Visual Studio Code;Webstorm,PHPStorm;Sublime Text;Vim,MacOS,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later;Play games;Visit another developer community (please name):,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,Neutral,Yes,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,I have an anxiety disorder,Appropriate in length,Easy,26340.0
2637,2638,I am a developer by profession,Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Forum",5,Less than 1 year,"Developer, back-end",10 to 19 employees,IDR	Indonesian rupiah,,Monthly,Ruby,Go;JavaScript,MySQL,PostgreSQL,Heroku,AWS;DigitalOcean,Ruby on Rails,Express,,,Git,Flow;Git,Visual Studio Code,Visual Studio Code,Linux-based,Visit Stack Overflow;Google it,Stack Overflow;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies),Daily or almost daily,Yes,Less than once per month or monthly,Neutral,No,18-24 years old,Man,No,Bisexual,East Asian,None of the above,None of the above,,Easy,
2707,2708,I am a developer by profession,Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,Online Forum,11,4,"Developer, back-end;System administrator",2 to 9 employees,IDR	Indonesian rupiah,11000000.0,Monthly,Go;Java;JavaScript;PHP;Ruby;VBA,Go;JavaScript;PHP;Rust;TypeScript,DynamoDB;Elasticsearch;Firebase;MariaDB;MySQL;PostgreSQL;Redis;SQLite,MySQL;PostgreSQL;Redis;SQLite,AWS;DigitalOcean;Google Cloud Platform;Heroku;Oracle Cloud Infrastructure,AWS;Google Cloud Platform;Oracle Cloud Infrastructure,Express;jQuery;Laravel;Ruby on Rails;Vue.js,Laravel;React.js;Vue.js,Cordova,Cordova;TensorFlow,Docker;Git;Yarn,Git;Yarn,Android Studio;Atom;Eclipse;IntelliJ;NetBeans;Notepad++;PHPStorm;Sublime Text;Vim;Visual Studio Code,Android Studio;IntelliJ;PHPStorm;Visual Studio,MacOS,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later;Other (please specify):,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Daily or almost daily,"Yes, definitely",Yes,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,"I have a concentration and/or memory disorder (e.g. ADHD);I have a mood or emotional disorder (e.g. depression, bipolar disorder)",Appropriate in length,Easy,9660.0
2797,2798,I code primarily as a hobby,"Student, full-time",Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification",3,,,,,,,Bash/Shell;C;C#;C++;HTML/CSS;JavaScript;Node.js,Bash/Shell;C;C#;C++;HTML/CSS;Java;JavaScript;Node.js;Python,Redis;SQLite,Redis,Heroku,Heroku,Express,,Cordova,,Git,Git,Atom;Notepad++;Vim;Visual Studio Code,Vim;Visual Studio Code,Linux-based,Visit Stack Overflow;Google it;Do other work and come back later;Play games;Visit another developer community (please name):,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Neutral,Yes,Under 18 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,I have a concentration and/or memory disorder (e.g. ADHD),Appropriate in length,Neither easy nor difficult,
2800,2801,I am a student who is learning to code,"Student, part-time",Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Other (please specify):",3,,,,,,,C;C++;HTML/CSS;Java;JavaScript;Matlab;PHP;Python;R;SQL,HTML/CSS;JavaScript;Node.js;PHP;Python;SQL,MySQL;Oracle;SQLite,MariaDB;MySQL,Google Cloud Platform,Google Cloud Platform,jQuery;Laravel,Angular.js;jQuery;Laravel;React.js;Vue.js,Keras;NumPy;Pandas;TensorFlow,Keras;NumPy;Pandas;TensorFlow,Git,Git,Android Studio;NetBeans;RStudio;Visual Studio Code,Android Studio;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,Neutral,No,18-24 years old,Woman,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,
3008,3009,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification",12,7,"Developer, back-end",2 to 9 employees,IDR	Indonesian rupiah,30000000.0,Monthly,JavaScript;Node.js;TypeScript,JavaScript;Node.js;TypeScript,MongoDB;MySQL;PostgreSQL;SQLite,MongoDB;MySQL;PostgreSQL;SQLite,Heroku,AWS;Google Cloud Platform;Heroku;Microsoft Azure,Express,Express,,,Docker;Git;Kubernetes;Yarn,Docker;Git;Kubernetes;Yarn,Sublime Text;Vim;Visual Studio Code,Sublime Text;Vim;Visual Studio Code,Linux-based,Visit Stack Overflow;Go for a walk or other physical activity;Google it,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"Yes, somewhat",Yes,25-34 years old,Man,No,,Southeast Asian,,,Appropriate in length,Easy,26340.0
3050,3051,I am a developer by profession,Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification",6,5,"Developer, front-end",2 to 9 employees,IDR	Indonesian rupiah,18000000.0,Monthly,Bash/Shell;Dart;Elixir;Erlang;Go;HTML/CSS;JavaScript;Node.js;PHP;TypeScript,HTML/CSS;JavaScript;Node.js;TypeScript,MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,MongoDB,,,Angular;Express;Laravel;React.js;Vue.js,Angular;Express;Vue.js,React Native,,Docker;Git;Puppet;Yarn,Docker;Git;Puppet,Android Studio;IntelliJ;Visual Studio;Visual Studio Code,Visual Studio Code,MacOS,Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Panic,Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,"No, not really",No,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,I have a concentration and/or memory disorder (e.g. ADHD),Too long,Easy,15804.0
3112,3113,I am a developer by profession,Employed full-time,Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",2,Less than 1 year,"Developer, front-end;Developer, full-stack;Developer, back-end;Student",2 to 9 employees,IDR	Indonesian rupiah,,Monthly,JavaScript;PHP,C;Go;JavaScript;LISP;Node.js;Perl;Rust;TypeScript,PostgreSQL,Elasticsearch;MongoDB;PostgreSQL,,,Laravel,ASP.NET Core ;Gatsby;React.js;Svelte,,,Git;Yarn,Deno;Docker;Git;Kubernetes;Yarn,Visual Studio Code,Visual Studio Code,Linux-based,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"Yes, definitely",Yes,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Too long,Easy,
3416,3417,I code primarily as a hobby,"Not employed, but looking for work",Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,Other (please specify):,14,,"Developer, mobile;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Developer, game or graphics;Engineer, site reliability;System administrator",,,,,C#;C++;Delphi;HTML/CSS;JavaScript;PHP;SQL,HTML/CSS;JavaScript;Node.js;PHP;Python;Ruby;SQL,MariaDB;MySQL;Oracle;PostgreSQL;SQLite,Elasticsearch;Firebase;MariaDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,AWS;Google Cloud Platform,AWS;Google Cloud Platform,jQuery;Laravel,Angular.js;jQuery;Laravel;React.js;Ruby on Rails;Vue.js,.NET Framework;Cordova,React Native,Git;Unity 3D,Docker;Git;Kubernetes;Yarn,Eclipse;NetBeans;Notepad++;PHPStorm;Sublime Text;Visual Studio;Visual Studio Code,Notepad++;Sublime Text;Xcode,MacOS,Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies),Multiple times per day,Yes,A few times per week,"Yes, definitely",Yes,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,
3506,3507,I am a developer by profession,Employed full-time,Indonesia,,,"Associate degree (A.A., A.S., etc.)",11 - 17 years,Other (please specify):,10,Less than 1 year,"Developer, full-stack",20 to 99 employees,IDR	Indonesian rupiah,6800000.0,Monthly,C;Go;JavaScript;TypeScript,Haskell;Rust,MariaDB;MySQL,PostgreSQL;SQLite,Heroku,AWS,Express,React.js;Svelte;Vue.js,Qt,,Git;Yarn,Deno;Git,Neovim;Visual Studio Code,Neovim,Linux-based,Google it;Watch help / tutorial videos,Stack Overflow,A few times per week,Yes,Less than once per month or monthly,Neutral,No,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,5976.0
3807,3808,I am a student who is learning to code,"Not employed, but looking for work",Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification",2,,Student,,,,,HTML/CSS;JavaScript;PHP;SQL,Dart;HTML/CSS;JavaScript;Kotlin;Node.js;PHP;SQL;TypeScript,MariaDB;MySQL,MariaDB;MongoDB;MySQL;Redis;SQLite,,,,,,,Git,Git,Android Studio;Notepad++;Visual Studio Code,Android Studio;Notepad++;Visual Studio Code,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,A few times per month or weekly,No,,Not sure,Yes,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Too long,Neither easy nor difficult,
4120,4121,I code primarily as a hobby,"Student, full-time",Indonesia,,,Something else,5 - 10 years,"Other online resources (ex: videos, blogs, etc);Online Forum",5,,,,,,,HTML/CSS;JavaScript;Node.js;PHP,HTML/CSS;JavaScript;Node.js,MariaDB;MongoDB;MySQL,MariaDB;MongoDB;MySQL,,,Express;jQuery;React.js,Express;React.js,React Native,React Native,Git,Deno;Docker;Git,Atom;Notepad++;Visual Studio Code,Atom,Linux-based,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,Not sure,Yes,Under 18 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,Prefer not to say,Appropriate in length,Neither easy nor difficult,
4171,4172,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5 - 10 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification;Other (please specify):",5,Less than 1 year,"Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Student;Developer, game or graphics;System administrator","Just me - I am a freelancer, sole proprietor, etc.",USD	United States dollar,,,C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PHP;PowerShell;Python;Rust,C;C#;C++;Go;Kotlin;PowerShell;Python;Ruby;Rust,MariaDB;MySQL;SQLite,MariaDB;SQLite,Google Cloud Platform;Heroku;Microsoft Azure,Microsoft Azure,Angular,Angular,.NET Framework;.NET Core / .NET 5,.NET Core / .NET 5,Docker;Git;Unity 3D;Unreal Engine,Docker;Git;Unreal Engine,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Play games,Stack Overflow;Stack Exchange,Multiple times per day,Not sure/can't remember,,Neutral,Yes,18-24 years old,Man,No,Straight / Heterosexual;Bisexual;Gay or Lesbian,Southeast Asian,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,
4537,4538,I am a student who is learning to code,"Student, full-time",Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Friend or family member",3,,,,,,,Assembly;Bash/Shell;C;HTML/CSS;Java;JavaScript;Matlab;Node.js;PHP;Python;SQL;TypeScript,Bash/Shell;Kotlin;Node.js;PHP;Python;SQL;TypeScript,Firebase;MySQL;PostgreSQL,MongoDB;PostgreSQL,,,Angular;Laravel;Symfony,Angular.js;Laravel;React.js;Vue.js,Keras;NumPy;Pandas;React Native;TensorFlow;Torch/PyTorch,Keras;NumPy;Pandas;React Native;TensorFlow;Torch/PyTorch,Git,Git,Android Studio;Notepad++;Visual Studio Code,Notepad++;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Play games,Stack Overflow,Daily or almost daily,No,,Neutral,No,18-24 years old,Man,No,,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,
6108,6109,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School;Books / Physical media,15,11,"Developer, full-stack",100 to 499 employees,IDR	Indonesian rupiah,25000000.0,Monthly,JavaScript;Node.js;PHP;TypeScript,C#;F#;JavaScript;Node.js;Rust;TypeScript,Elasticsearch;MariaDB;MongoDB;MySQL;Redis;SQLite,Elasticsearch;MariaDB;MongoDB;MySQL;Redis;SQLite,AWS;DigitalOcean;Google Cloud Platform,Google Cloud Platform,Express;Vue.js,Express;Vue.js,,,Docker;Git,Docker;Git;Kubernetes,Visual Studio Code,Visual Studio Code,Linux-based,Visit Stack Overflow;Google it;Do other work and come back later,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,"Yes, definitely",No,35-44 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,21960.0
6125,6126,I code primarily as a hobby,"Student, full-time",Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Friend or family member",10,,,,,,,C#;HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript,Bash/Shell;Dart;HTML/CSS;Java;JavaScript;Kotlin;Node.js;TypeScript,MariaDB;MongoDB;MySQL;SQLite,MongoDB;PostgreSQL,,,Express;jQuery;Laravel;React.js;Vue.js,Express;Laravel;React.js;Vue.js,.NET Framework;React Native,Flutter;React Native,Docker;Git;Kubernetes;Unity 3D;Yarn,Deno;Git;Unity 3D;Unreal Engine;Yarn,Android Studio;IntelliJ;Visual Studio;Visual Studio Code,IntelliJ;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later;Play games,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,Not sure,No,Under 18 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,
8149,8150,I am a developer by profession,Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,Friend or family member;Colleague;Books / Physical media,31,22,"Data scientist or machine learning specialist;Developer, back-end",100 to 499 employees,IDR	Indonesian rupiah,18000000.0,Monthly,Elixir;Go;Java;Python;Scala,Rust,Elasticsearch;MongoDB;MySQL;Oracle;PostgreSQL;Redis,Elasticsearch;PostgreSQL;Redis,Google Cloud Platform,AWS;Google Cloud Platform;Microsoft Azure,Django;Spring,,Apache Spark;Hadoop;Keras;NumPy;TensorFlow,,Docker;Git;Kubernetes,Docker;Git,Android Studio;Eclipse;IntelliJ;NetBeans;Notepad++;PyCharm;Visual Studio Code,IntelliJ;PyCharm;Visual Studio Code,Linux-based,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",No,45-54 years old,Man,No,Straight / Heterosexual,Southeast Asian,Prefer not to say,Prefer not to say,Appropriate in length,Easy,15804.0
