,ResponseId,Q120,MainBranch,Age,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,TechList,BuyNewTool,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,AISearchHaveWorkedWith,AISearchWantToWorkWith,AIDevHaveWorkedWith,AIDevWantToWorkWith,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,SOAI,AISelect,AISent,AIAcc,AIBen,AIToolInterested in Using,AIToolCurrently Using,AIToolNot interested in Using,AINextVery different,AINextNeither different nor similar,AINextSomewhat similar,AINextVery similar,AINextSomewhat different,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,ProfessionalTech,Industry,SurveyLength,SurveyEase,ConvertedCompYearly
17385,17386,I agree,I am a developer by profession,25-34 years old,"Not employed, but looking for work",,,Some college/university study without earning a degree,"School (i.e., University, College, etc)",,,7,,"Developer, full-stack",,,Investigate,Ask developers I know/work with;Visit developer communities like Stack Overflow,Indonesia,,,HTML/CSS;JavaScript;SQL;TypeScript,HTML/CSS;PHP;SQL,PostgreSQL,MariaDB;MySQL,Amazon Web Services (AWS),,Express;Node.js;React,Laravel,React Native,,Yarn,Composer,Visual Studio Code,Visual Studio Code,Windows,Windows,Trello,Trello,Discord;Google Meet;Whatsapp;Zoom,Discord,ChatGPT,ChatGPT,,,Stack Overflow,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,Neutral,Provide answers other than human answers,"No, and I don't plan to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
17818,17819,I agree,"I am not primarily a developer, but I write code sometimes as part of my work/studies",18-24 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed;Not employed, but looking for work;Employed, part-time","Hybrid (some remote, some in-person)",I don’t code outside of work,Primary/elementary school,"Books / Physical media;Colleague;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);Coding Bootcamp",How-to videos;Click to write Choice 20;Stack Overflow,Codecademy;Udemy;Udacity,5,,Designer,,,Investigate,Start a free trial;Visit developer communities like Stack Overflow,Indonesia,,,Java;JavaScript;PHP;Ruby;SQL;Visual Basic (.Net),C#;C++;HTML/CSS;Java;Kotlin;PHP;SQL;Visual Basic (.Net),MariaDB;Microsoft SQL Server;MySQL;Oracle,MariaDB;Microsoft SQL Server;MySQL,Cloudflare;Firebase;Google Cloud,Cloudflare;Google Cloud,CodeIgniter;jQuery;Laravel;WordPress,CodeIgniter;Laravel;WordPress,,,Unity 3D;Unreal Engine,Unity 3D;Unreal Engine,Android Studio;Eclipse;Netbeans;Visual Studio;Visual Studio Code,Android Studio;Eclipse;Netbeans;Visual Studio;Visual Studio Code,Android;iOS,Android;iOS,GitHub Discussions;Notion,GitHub Discussions;Notion,Discord;Google Meet;Telegram;Zoom,Discord;Google Meet;Telegram;Zoom,,,,,Stack Overflow;Collectives on Stack Overflow,Less than once per month or monthly,Yes,Less than once per month or monthly,"No, not really",i want learn about AI,"No, but I plan to soon",Indifferent,,Somewhat trust,,,,,,,,,Yes,Individual contributor,4.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Never,Never,1-2 times a week,15-30 minutes a day,15-30 minutes a day,None of these,Retail and Consumer Services,Appropriate in length,Neither easy nor difficult,
18294,18295,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","School (i.e., University, College, etc)",,,11,7,"Developer, back-end",100 to 499 employees,I have little or no influence,,Start a free trial,Indonesia,IDR	Indonesian rupiah,432000000.0,Bash/Shell (all shells);Dart;Go;HTML/CSS;JavaScript;TypeScript,Bash/Shell (all shells);Go;JavaScript;TypeScript,Dynamodb;MongoDB;MySQL,Dynamodb;MongoDB;MySQL,Amazon Web Services (AWS);Firebase;Fly.io;Google Cloud,Amazon Web Services (AWS);Firebase;Google Cloud,Angular;NestJS;Node.js;Nuxt.js,Angular;NestJS;Node.js;Nuxt.js,Flutter,,Docker;Homebrew;Make;npm;Terraform;Yarn,Docker;Homebrew;Kubernetes;Make;npm;Terraform;Yarn,Android Studio;Visual Studio Code;Xcode,Visual Studio Code,iOS;MacOS,Android;iOS;MacOS,Confluence;Markdown File;Notion;Redocly,Confluence;Markdown File;Notion,Discord;Google Meet;Mattermost;Whatsapp,Google Meet;Slack;Whatsapp;Zoom,,,,,Stack Overflow,Daily or almost daily,No,,"No, not really",,Yes,Very favorable,Increase productivity;Speed up learning,Highly trust,,Learning about a codebase;Writing code,,,,,,Learning about a codebase,Yes,Individual contributor,7.0,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,1-2 times a week,6-10 times a week,Never,30-60 minutes a day,15-30 minutes a day,DevOps function;Microservices;Observability tools;Continuous integration (CI) and (more often) continuous delivery,,Appropriate in length,Neither easy nor difficult,29088.0
18669,18670,I agree,"I am not primarily a developer, but I write code sometimes as part of my work/studies",18-24 years old,"Independent contractor, freelancer, or self-employed;Student, full-time","Hybrid (some remote, some in-person)",Hobby;School or academic work,Some college/university study without earning a degree,"Books / Physical media;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Coding Bootcamp","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Click to write Choice 20;Stack Overflow;Certification videos",Codecademy;Udemy;Coursera,2,,"Developer, back-end",,,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd;Ask a generative AI tool,Indonesia,,,C;Dart;Go;HTML/CSS;Java;JavaScript;Kotlin;Lua;OCaml;PHP;Python;R;Rust;SQL;TypeScript;Zig,Elixir;Erlang;Zig,Cloud Firestore;Firebase Realtime Database;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite;Supabase,Redis,Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud;Heroku;Vercel,"Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Fly.io;Linode, now Akamai;Netlify",Angular;CodeIgniter;Express;jQuery;Laravel;Next.js;Node.js;Nuxt.js;React;Remix;Spring Boot;Vue.js,Deno;Django;FastAPI;Fastify;Flask;Gatsby;Lit;NestJS;Next.js;Phoenix;Qwik;Remix;Solid.js;Spring Boot;Svelte;Vue.js,Flutter;Hadoop;NumPy;Pandas;React Native;Scikit-Learn;Spring Framework;Tauri;Tidyverse,Apache Kafka;Apache Spark;Capacitor;Cordova;CUDA;Electron;Flutter;GTK;Hugging Face Transformers;Ionic;JAX;Keras;Ktor;NumPy;Opencv;OpenGL;React Native;Scikit-Learn;Spring Framework;Tauri;TensorFlow;Torch/PyTorch;Xamarin,APT;Cargo;Chocolatey;Composer;Docker;Gradle;Maven (build tool);npm;Pacman;Pip;pnpm;Vite;Wasmer;Webpack;Yarn,Ansible;APT;Bun;Cargo;CMake;Kubernetes;LLVM's Clang;Make;Nix;Podman;Pulumi;Terraform;Unity 3D;Unreal Engine,Android Studio;Emacs;Goland;Helix;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Neovim;PyCharm;Vim;Visual Studio Code;WebStorm,Visual Studio Code;WebStorm,Android;Arch;Debian;Ubuntu;Windows,Android;Debian;Ubuntu;Windows,GitHub Discussions;Markdown File;Notion,,Discord;Google Meet;Telegram;Zoom,,ChatGPT,,AWS CodeWhisperer;GitHub Copilot,,Stack Overflow,Multiple times per day,Yes,Less than once per month or monthly,Neutral,It's a good move to reduce toxic reply on beginner developer questions,Yes,Favorable,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding;Improve collaboration,Neither trust nor distrust,Project planning;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code,,,Learning about a codebase;Writing code;Documenting code,Learning about a codebase;Writing code;Documenting code,Debugging and getting help;Testing code,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,
19284,19285,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Colleague;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);Coding Bootcamp",Books;How-to videos;Stack Overflow;Interactive tutorial,Codecademy;Udemy;Pluralsight,8,3,"Developer, full-stack","1,000 to 4,999 employees",I have little or no influence,,Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Indonesia,IDR	Indonesian rupiah,10000000.0,HTML/CSS;Java;JavaScript;PHP;SQL,Go;Rust;Swift;TypeScript,MariaDB;MySQL;Oracle;PostgreSQL,Firebase Realtime Database;MongoDB,VMware,Amazon Web Services (AWS);Cloudflare,jQuery;Laravel,Next.js;Node.js;Nuxt.js;Svelte,,,Maven (build tool);npm;Yarn,Unity 3D;Unreal Engine;Vite,Android Studio;Eclipse;IntelliJ IDEA;Netbeans;Notepad++;Sublime Text;Visual Studio;Visual Studio Code,Goland;Xcode,Android;Windows,MacOS,Trello,Jira;Miro,Google Meet;Zoom,Discord;Slack,,,GitHub Copilot,GitHub Copilot;Tabnine,Stack Overflow,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"No, not really","I think it's okay to using AI tools on stack overflow, as long as it help the community","No, but I plan to soon",Favorable,,Neither trust nor distrust,,,,,,,,,Yes,Individual contributor,3.0,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,1-2 times a week,3-5 times a week,Never,15-30 minutes a day,30-60 minutes a day,None of these,Financial Services,Appropriate in length,Easy,673.0
19570,19571,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Colleague;Online Courses or Certification;On the job training;Coding Bootcamp,,Udemy,4,3,"Developer, back-end",500 to 999 employees,I have some influence,Given a list,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Indonesia,IDR	Indonesian rupiah,13800000.0,Go;Python;SQL,Go;Python;Rust;SQL,PostgreSQL,MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS),Amazon Web Services (AWS),Django,Django;FastAPI;Phoenix,RabbitMQ,RabbitMQ,,,Goland;PyCharm,Goland;PyCharm,MacOS;Windows,MacOS;Windows,Clickup,Clickup,Google Meet;Slack,Google Meet;Slack,ChatGPT,,,,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",,Yes,Very favorable,Increase productivity;Greater efficiency;Speed up learning,Somewhat trust,,Writing code;Debugging and getting help,,,,Writing code;Debugging and getting help,,,No,,,,,,,,,,,,,,,,,,,,929.0
19730,19731,I agree,I am a developer by profession,18-24 years old,"Employed, full-time","Hybrid (some remote, some in-person)",I don’t code outside of work,Primary/elementary school,"Colleague;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Coding Bootcamp",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Written Tutorials;Click to write Choice 20;Stack Overflow;Certification videos,Other;Udemy,7,3,"Developer, mobile",10 to 19 employees,I have some influence,Given a list,Ask developers I know/work with;Visit developer communities like Stack Overflow,Indonesia,IDR	Indonesian rupiah,48000000.0,Dart;JavaScript;Kotlin,Dart;JavaScript,MongoDB;MySQL,,,,Laravel;Next.js;Node.js;React,Next.js;React,Cordova;Flutter,Flutter,npm,,Android Studio;Sublime Text;Visual Studio Code;Xcode,Android Studio;Visual Studio Code,Android;MacOS,Android;MacOS,Trello,,Google Meet;Mattermost;Whatsapp;Zoom,,,,,,Stack Overflow;Stack Exchange,Daily or almost daily,No,,Neutral,"AI tools would be useful for helping developers, especially for generating releated questions of our problems in my opinion.","No, but I plan to soon",Favorable,,Somewhat trust,,,,,,,,,Yes,Individual contributor,3.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Strongly agree,Neither agree nor disagree,1-2 times a week,Never,1-2 times a week,Over 120 minutes a day,15-30 minutes a day,DevOps function;Continuous integration (CI) and (more often) continuous delivery,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Easy,3232.0
19872,19873,I agree,I am learning to code,25-34 years old,"Not employed, but looking for work",,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Online Courses or Certification;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Written Tutorials;Click to write Choice 20;Stack Overflow,Coursera,8,,Other (please specify):,,,Other,Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Indonesia,,,C#;Rust,C#;Rust,,,,,,,.NET (5+) ,.NET (5+) ,Cargo;Pip,Cargo;Pip,IntelliJ IDEA;Visual Studio;Visual Studio Code,IntelliJ IDEA;Visual Studio;Visual Studio Code,Windows,Windows,Markdown File,Markdown File,Discord,Discord,ChatGPT;Phind,ChatGPT;Phind,,,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"No, not at all",Maybe filter out all that snide non-answer could be a good use for AI.,Yes,Favorable,Increase productivity;Speed up learning,Somewhat trust,Learning about a codebase;Project planning;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,,Writing code,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
19873,19874,I agree,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34 years old,"Independent contractor, freelancer, or self-employed",Remote,Contribute to open-source projects;School or academic work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum)",Books;How-to videos,,3,Less than 1 year,Data scientist or machine learning specialist,"Just me - I am a freelancer, sole proprietor, etc.",I have little or no influence,,Read ratings or reviews on third party sites like G2 Crowd,Indonesia,IDR	Indonesian rupiah,,Python,C++;Julia;R;Rust,,,,,,,NumPy;Pandas;Scikit-Learn,Tauri;Tidyverse,Pip,Cargo;pnpm;Podman;Vite,Jupyter Notebook/JupyterLab;Visual Studio Code,RStudio;VSCodium,Fedora,Fedora,,,Microsoft Teams;Whatsapp;Zoom,Matrix,Bing AI,,,,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"No, not at all",,"No, and I don't plan to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Too short,Easy,
19879,19880,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)","Formal documentation provided by the owner of the tech;How-to videos;Online challenges (e.g., daily or weekly coding challenges);Stack Overflow;Certification videos",,6,2,"Developer, back-end","1,000 to 4,999 employees",I have little or no influence,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit,Indonesia,IDR	Indonesian rupiah,,Dart;Go;JavaScript;Kotlin;TypeScript,Go;Kotlin;Scala;TypeScript,BigQuery;Cloud Firestore;Cockroachdb;Dynamodb;Elasticsearch;Firebase Realtime Database;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis,Cloud Firestore;Dynamodb;MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS);Google Cloud,Amazon Web Services (AWS);Google Cloud,Node.js;Spring Boot,,Apache Kafka;Flutter;RabbitMQ;Spring Framework,,Chocolatey;Composer;Docker;Homebrew;Kubernetes;Maven (build tool);npm;Terraform;Yarn,Docker;Maven (build tool);Terraform,IntelliJ IDEA;Visual Studio Code,IntelliJ IDEA;Visual Studio Code,MacOS;Red Hat;Windows,MacOS;Red Hat;Windows,Asana;Confluence;Jira,Asana;Confluence;Jira,Discord;Google Meet;Microsoft Teams;Slack;Telegram;Whatsapp,Discord;Google Meet;Slack,Bing AI;ChatGPT,Bing AI;ChatGPT,,,Stack Overflow,A few times per month or weekly,Yes,Less than once per month or monthly,Neutral,"sure, not much to comment","No, but I plan to soon",Indifferent,,Neither trust nor distrust,,,,,,,,,No,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
19958,19959,I agree,I am a developer by profession,35-44 years old,"Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Hobby;Bootstrapping a business;Freelance/contract work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;How-to videos;Written Tutorials;Click to write Choice 20;Stack Overflow,,18,18,"Developer, full-stack",2 to 9 employees,I have a great deal of influence,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Indonesia,IDR	Indonesian rupiah,1500000000.0,C++;JavaScript;PHP;TypeScript,JavaScript;PHP;Python;Rust;TypeScript,Elasticsearch;MariaDB;MySQL,Elasticsearch;MariaDB;MySQL;Supabase,Amazon Web Services (AWS);Firebase;Google Cloud;Heroku;Managed Hosting;Vercel;Vultr,Managed Hosting;Vercel,CodeIgniter;Gatsby;jQuery;Laravel;Next.js;Nuxt.js;React;Vue.js;WordPress,CodeIgniter;Django;Laravel;Next.js;Nuxt.js;React;Vue.js;WordPress,,,Composer;Homebrew;npm;Vite;Webpack;Yarn,Composer;Docker;Homebrew;npm;pnpm;Vite;Yarn,Android Studio;Atom;Eclipse;Emacs;Nano;Netbeans;Notepad++;PhpStorm;Sublime Text;Vim;Visual Studio Code;WebStorm;Xcode,Neovim;Vim;Visual Studio Code,Android;MacOS,Android;MacOS;Red Hat,GitHub Discussions;Notion,GitHub Discussions;Notion;Stack Overflow for Teams,Google Chat;Google Meet;Telegram;Whatsapp;Zoom,Google Chat;Google Meet;Whatsapp,ChatGPT;WolframAlpha,ChatGPT,GitHub Copilot;Tabnine,GitHub Copilot,Stack Overflow;Stack Exchange;Collectives on Stack Overflow,Multiple times per day,Yes,A few times per week,"Yes, somewhat",Provide better related questions,Yes,Favorable,Increase productivity;Greater efficiency;Improve accuracy in coding,Somewhat trust,Project planning;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring,Writing code,Learning about a codebase;Collaborating with teammates ,,,,,Writing code,Yes,Individual contributor,20.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Never,Never,Never,15-30 minutes a day,30-60 minutes a day,None of these,,Appropriate in length,Easy,100999.0
20025,20026,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",I don’t code outside of work,Some college/university study without earning a degree,"Books / Physical media;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Written Tutorials;Other (Please specify):,Coursera,17,15,"Developer, back-end",2 to 9 employees,I have a great deal of influence,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Indonesia,IDR	Indonesian rupiah,,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;Lisp;Rust;Swift,Java;Kotlin;Rust;Swift,Clickhouse;PostgreSQL;Redis,PostgreSQL;Redis,Digital Ocean,Digital Ocean,Angular,,,,Cargo;Gradle;Homebrew;Kubernetes;Make;npm,Cargo;Homebrew,Android Studio;IntelliJ IDEA;Visual Studio,IntelliJ IDEA,iOS;iPadOS;MacOS,MacOS,GitHub Discussions;Markdown File;Miro;YouTrack,Markdown File,Matrix;Telegram;Zoom,,ChatGPT,ChatGPT,,,Stack Overflow,A few times per month or weekly,Not sure/can't remember,,"No, not really","ChatGTP is enough, I don't want see AI content mixed with real content from real people","No, but I plan to soon",Unsure,,Somewhat distrust,,,,,,,,,No,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
20476,20477,I agree,"I am not primarily a developer, but I write code sometimes as part of my work/studies",35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Freelance/contract work;School or academic work,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Coding Bootcamp",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Click to write Choice 20;Stack Overflow;Certification videos,Coursera,17,1,System administrator,20 to 99 employees,I have a great deal of influence,Investigate,Start a free trial;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Research companies that have emailed me,Indonesia,IDR	Indonesian rupiah,41600000.0,JavaScript;PHP;PowerShell;Python;SQL;Visual Basic (.Net),JavaScript;PHP;PowerShell;Python;R;SQL;Visual Basic (.Net),MariaDB;Microsoft Access;MySQL,MariaDB;Microsoft Access;MySQL,Google Cloud;Heroku;Managed Hosting;Netlify;Vercel;VMware,Amazon Web Services (AWS);Google Cloud;Heroku;Managed Hosting;Microsoft Azure;Netlify;Vercel;VMware,CodeIgniter;jQuery;WordPress,CodeIgniter;jQuery;Laravel;React;WordPress,,,APT;Chocolatey;Make;Pip,APT;Chocolatey;Make;Pip,IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Netbeans;Notepad++;PyCharm;Visual Studio Code,IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Netbeans;Notepad++;PyCharm;Visual Studio Code,Android;Ubuntu;Windows,Android;Windows,GitHub Discussions,GitHub Discussions;Microsoft Planner;Stack Overflow for Teams,Discord;Google Chat;Google Meet;IRC;Microsoft Teams;Skype;Telegram;Whatsapp;Zoom,Discord;Google Chat;Google Meet;IRC;Microsoft Teams;Skype;Telegram;Whatsapp;Zoom,Bing AI;ChatGPT,Bing AI;ChatGPT;Google Bard AI;Neeva AI;Perplexity AI,,,Stack Overflow;Stack Exchange;Collectives on Stack Overflow,Multiple times per day,Yes,Daily or almost daily,"Yes, definitely",,"No, but I plan to soon",Favorable,,Somewhat trust,,,,,,,,,Yes,People manager,20.0,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,1-2 times a week,3-5 times a week,3-5 times a week,30-60 minutes a day,15-30 minutes a day,None of these,,Appropriate in length,Neither easy nor difficult,2801.0
20671,20672,I agree,I am a developer by profession,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,Hobby;Contribute to open-source projects;Bootstrapping a business;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Colleague;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum)","Formal documentation provided by the owner of the tech;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial",Other;Codecademy,5,4,"Developer, back-end",100 to 499 employees,I have some influence,Investigate,Start a free trial;Ask developers I know/work with;Research companies that have emailed me,Indonesia,IDR	Indonesian rupiah,,JavaScript;Python;SQL,Python;Rust;SQL,Dynamodb;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Dynamodb;Elasticsearch;MongoDB;PostgreSQL;Redis;SQLite,Heroku;Netlify,Netlify,AngularJS;Django;Drupal;FastAPI;jQuery;WordPress,Django;FastAPI,Pandas;RabbitMQ,Pandas;RabbitMQ,npm;Pip,Pip,Atom;IPython;Nano;Neovim;Notepad++;PyCharm;Sublime Text;Vim;Visual Studio Code;VSCodium,IPython;Vim;Visual Studio Code,Windows;Windows Subsystem for Linux (WSL),Windows;Windows Subsystem for Linux (WSL),Asana;Clickup;GitHub Discussions;Trello,Clickup;GitHub Discussions;Trello,Discord;Google Chat;Google Meet;Slack;Zoom,Discord;Google Meet,,,GitHub Copilot,,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,"Yes, somewhat","prevent duplicate questions, suggest most voted answer and other similar answers/solutions.","No, but I plan to soon",Unsure,,Neither trust nor distrust,,,,,,,,,Yes,Individual contributor,4.0,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,1-2 times a week,3-5 times a week,1-2 times a week,15-30 minutes a day,15-30 minutes a day,DevOps function;Continuous integration (CI) and (more often) continuous delivery,Retail and Consumer Services,Appropriate in length,Neither easy nor difficult,
20867,20868,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Hobby;Contribute to open-source projects;Bootstrapping a business;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Books;Video-based Online Courses;Written-based Online Courses;Stack Overflow;Certification videos,Other;Udemy;Coursera,10,7,Data scientist or machine learning specialist,100 to 499 employees,I have some influence,Investigate,Start a free trial,Indonesia,IDR	Indonesian rupiah,,Python;R,,BigQuery;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis,Clickhouse,Amazon Web Services (AWS);Digital Ocean;Google Cloud,,FastAPI,,Apache Spark;Pandas;Scikit-Learn;Tidyverse,Keras;Opencv;TensorFlow;Torch/PyTorch,,,Jupyter Notebook/JupyterLab;Notepad++;Visual Studio Code,,Ubuntu;Windows;Windows Subsystem for Linux (WSL),Windows,Basecamp;Jira;Trello,Asana,Google Meet;Microsoft Teams;Skype;Slack;Telegram;Whatsapp,,,,,,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"Yes, definitely","I don't think AI can help us, especially for finding the case that we are looking for.","No, and I don't plan to",,,,,,,,,,,,Yes,Individual contributor,9.0,,,,,,,,,1-2 times a week,6-10 times a week,Never,Less than 15 minutes a day,Less than 15 minutes a day,DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery,Wholesale,Too long,Neither easy nor difficult,
21075,21076,I agree,"I am not primarily a developer, but I write code sometimes as part of my work/studies",18-24 years old,"Not employed, but looking for work",,,Primary/elementary school,"Colleague;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",How-to videos,,2,,Student,,,Investigate,Ask developers I know/work with;Visit developer communities like Stack Overflow,Indonesia,,,,,,,,,,,,,,,,,Android;Debian;Windows,,,,,,,,,,Stack Overflow;Stack Exchange,Less than once per month or monthly,Yes,I have never participated in Q&A on Stack Overflow,Not sure,yeah it must be good to implement AI on this service,"No, but I plan to soon",Indifferent,,Somewhat trust,,,,,,,,,,,,,,,,,,,,,,,,,,,Too long,Difficult,
