,C,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Select all that apply,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Select all that apply.1,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Select all that apply.2,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Select up to 3,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Select up to 3.1,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Select up to 3.2,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Select all that apply.3,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Select up to 3.3,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Select all that apply.4,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Select all that apply.5,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Select all that apply.6,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Select all that apply.7,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221
1933,Indonesia,< 20,Female,It depends,1 - 2 years,Back-end web developer,Windows 7,,,,,,,,,Cassandra,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,,,,,Android,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,SQL Server,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248,Indonesia,20-24,Male,Spaces,2 - 5 years,Business intelligence or data warehousing expert,Windows 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,,,,,,,,,Bachelor of Science in Computer Science (or related field),,,,"Less than $20,000",10000,Employed full-time,Software Products,I love my job,I can recommend or request products,Part-time Remote,Yes,I am open to new job opportunities,Salary,,,,,,,,,,,,,,,Building something that matters,,Flexible work hours,Very important,,Finding an open job that I'm qualified for,Searching for a job that seems interesting,Interesting companies rarely respond,,,,Rarely,I wish more recruiters contacted me!,Tolerate,Tolerate,I don't have an account,Great,Great,Hate,Hate,,,,,Company culture is described,Salary information is provided,Benefits / perks of the work environment are described,,,,,,,,,Details about the product or project I'd be working on,Tolerate,Great,Great,Great,Great,,,,,Introduce me to the team,,Show me the space in which I will work,,Prepare me for who I will be speaking with,,It's a jobs site specificallyæfor programmers,Goodæselection of relevant jobs,,Because the jobs ads are right there on Stack Overflow,,0,20+ hours per week,Multipleætimes a day,NotePad++,,Dark,Git,,,,,,,,,,,Git,,,To give help to others,,,,,,Because I love to learn,,Usually,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,,,,,,
2702,Indonesia,25-29,Male,It depends,1 - 2 years,Database administrator,Windows 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,,No formal training; I'm self-taught,,,,,,,,,,,"Less than $20,000",10000,Employed full-time,Consumer Products,I'm somewhat satisfied with my job,I have a discretionary budget at my disposal,Never,No,I am actively looking for a new job,Salary,Equity,,,,,,,,,Job title,,,,,,,,Neutral - I don't mind working in the office or remotely,Finding time to job search,Finding an open job that I'm qualified for,,,,Taking time off work to interview,,Rarely,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Great,Hate,I don't have an account,Tolerate,I don't have an account,I don't have an account,Hate,,,Stack Overflow activity is mentioned,Team I would be working with isædescribed,,,Benefits / perks of the work environment are described,,,,,,,Job title,,,Hate,Hate,Tolerate,,Tolerate,,Be more flexible about interview scheduling,,,Introduce me to the team,,,,Prepare me for who I will be speaking with,,,,,,,3,1-2 hours per week,Once a day,NotePad++,,I don't use an IDE,,,,,,,,,,I don't use source control,,Legacy / Custom,,To get help for my job,,,,,,,Because I love to learn,,Usually,It feels good to help a programmer in need,,,,,,,
2904,Indonesia,30-34,Male,Tabs,6 - 10 years,Designer,Windows XP,,,,,,C++,,C#,,,,,,,,,,,,Java,JavaScript,,,,,,Perl,PHP,,,,Ruby,,,,,,SQL,SQL Server,,,,,,,,,,,,C#,,,,,,,,,,,,Java,JavaScript,,,,,,Perl,PHP,,,,Ruby,,,,,,SQL,SQL Server,,,,,,,,,,,,,,,,,"Less than $20,000",10000,Employed full-time,Web Services,I'm neither satisfied nor dissatisfied with my job,I can recommend or request products,Part-time Remote,No,I am open to new job opportunities,Salary,,,,,,,,Work/life balance,,,,,,Company reputation,,,,Neutral - I don't mind working in the office or remotely,Finding time to job search,,,,,Taking time off work to interview,The interview process,Rarely,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Great,Tolerate,I don't have an account,Great,Tolerate,,Hate,,Code or projects I've worked on are referenced,,,,,Benefits / perks of the work environment are described,,Salary,,Company name,,,,,,Great,Great,Great,Tolerate,Tolerate,Show meæmore live code,,,,,,,,,,,,,,,0,5-10 hours per week,Multipleætimes a day,NotePad++,,Dark,Git,,SVN,CVS,,,,,,,,Git,,To get help for my job,,,,,,,,,Usually,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,,,,,,
3205,Indonesia,40-50,Male,Spaces,11+ years,Desktop developer,Windows 7,,,,,,,,,,,,,,,,,,,,Java,,,,,,,,PHP,,,,,,,,,,,,,Visual Basic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,,,,,,,,,,,,,,,,Masters Degree in Computer Science (or related field),,,"Less than $20,000",10000,Employed full-time,Finance / Banking,I'm somewhat satisfied with my job,"I influence purchasing decisions, but don't have final approval",I rarely work remote,No,I am open to new job opportunities,,,,,Industry,,Company size,,,,,,,,Company reputation,,,,Very important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3206,Indonesia,40-50,Male,Tabs,6 - 10 years,Desktop developer,Windows XP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL Server,,Visual Basic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL Server,,Visual Basic,,,,,On-the-job training,,,,,Some college coursework in Computer Science (or related field) but no degree,,,,,"$60,000 - $80,000",70000,Employed full-time,Finance / Banking,I love my job,"I influence purchasing decisions, but don't have final approval",Full-time Remote,No,I am not interested in other job opportunities,,,,,,,,,Work/life balance,,,,Quality of colleagues,,,,Remote working options,,It's non-negotiable,Finding time to job search,Finding an open job that I'm qualified for,Searching for a job that seems interesting,,,,,Never,,Tolerate,Hate,Hate,Hate,Tolerate,Hate,Hate,Message is personalized,,,,,,,,Salary,,,Tech stack,,,,Details about the product or project I'd be working on,Tolerate,Great,Great,Great,,,,,Introduce me to the boss,,,,Fewer brainteasers,,,It's a jobs site specificallyæfor programmers,,,,,0,1-2 hours per week,Multipleætimes a day,,,Light,,,,,,,,,Legacy / Custom,,,,,To get help for my job,To give help to others,Because I can't do my job without it,,,,,Because I love to learn,,Usually,It feels good to help a programmer in need,,It feels good to demonstrate my expertise.,,I feel a sense of responsibility to the developer community,,,
3416,Indonesia,20-24,Female,Tabs,2 - 5 years,Desktop developer,Windows 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some college coursework in Computer Science (or related field) but no degree,,,,,,,Employed full-time,Healthcare,I love my job,I have no say in purchasing what I need or want at work,Part-time Remote,Yes,I am open to new job opportunities,,,,,,,,,,Opportunity for advancement,,,,,,,,,It's non-negotiable,,Finding an open job that I'm qualified for,,,,,,About once a week,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Great,Great,Hate,Tolerate,Tolerate,Hate,Hate,Message is personalized,,,,,,,,,,,,,Job title,,,,Great,,,,,,,,,,Show me the space in which I will work,,,,,,,,,6,20+ hours per week,Very rarely,NotePad++,,Dark,,,,,,,,,,I don't use source control,,,,To get help for my job,,,,,,,,,Usually,It feels good to help a programmer in need,,,,,,,
3522,Indonesia,20-24,Male,Tabs,2 - 5 years,Desktop developer,Windows 7,,Android,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,Visual Basic,,,,Android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual Basic,,,,No formal training; I'm self-taught,,,,,,,,,PhD in Computer Science (or related field),,"Less than $20,000",10000,Employed full-time,Manufacturing,I'm neither satisfied nor dissatisfied with my job,I can recommend or request products,Never,Yes,I am open to new job opportunities,Salary,,,,,,,,,,,Office location,,,,,,Flexible work hours,Neutral - I don't mind working in the office or remotely,,,Searching for a job that seems interesting,,,,,About once a week,"Please, make the recruiter spamŒæstop",Great,Great,I don't have an account,Hate,I don't have an account,Hate,Tolerate,Message is personalized,,,,Company culture is described,Salary information is provided,,,Salary,,Company name,,Office location,,People I would be working with,Details about the product or project I'd be working on,Hate,Tolerate,Great,Great,Great,,,,,Introduce me to the team,Offer me a decent cup of coffee,,Fewer brainteasers,,,It's a jobs site specificallyæfor programmers,,,Because the jobs ads are right there on Stack Overflow,,0,2-5 hours per week,Multipleætimes a day,Sublime Text,,Light,Git,,SVN,,,,,,,,,Git,,To get help for my job,,Because I can't do my job without it,,,,,Because I love to learn,,Sometimes,It feels good to help a programmer in need,,,,,,,
3680,Indonesia,30-34,Male,Tabs,6 - 10 years,Desktop developer,Windows 7,,,,,,C++,,,,,,,,,,Go,,,,,,,,,,,,,,,,,,,,,,,,,Visual Basic,,,,Android,,,,,C++11,,,,,,,Dart,,Go,,,,,,,,,,,,,,,,,,,,,,,,Swift,,,,,,On-the-job training,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,Bachelor of Science in Computer Science (or related field),Masters Degree in Computer Science (or related field),,,"$20,000 - $40,000",30000,Employed full-time,Other (please specify),I'm somewhat dissatisfied with my job,I can recommend or request products,Never,No,I am open to new job opportunities,,,,,,Tech stack,,,,,,Office location,,,,,,Flexible work hours,Neutral - I don't mind working in the office or remotely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4040,Indonesia,25-29,Male,Huh?,1 - 2 years,Desktop developer,Windows XP,,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,,,,,,,,,Bachelor of Science in Computer Science (or related field),,,,,,Employed part-time,Software Products,Other (please specify),Other,Part-time Remote,Yes,I am open to new job opportunities,,,,,,,,,,,,,,,Company reputation,,,,Somewhat important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5107,Indonesia,20-24,Male,Tabs,6 - 10 years,Developer with a statistics or mathematics background,Mac OS X,,,,AngularJS,,,C++11,,,,,,,,,,,,,Java,JavaScript,LAMP,Matlab,MongoDB,Node.js,,,PHP,,R,Redis,,,,,,,SQL,SQL Server,,,,,,Android,,AngularJS,,,,,,,,,,,,,,,iOS,Java,JavaScript,LAMP,Matlab,,Node.js,,,,,R,,,,,,,,SQL,SQL Server,Swift,,,,,,On-the-job training,,,,,Some college coursework in Computer Science (or related field) but no degree,Bachelor of Science in Computer Science (or related field),Masters Degree in Computer Science (or related field),,,"$20,000 - $40,000",30000,Prefer not to disclose,,,,,No,I am open to new job opportunities,,,,,,,,,,,,,Quality of colleagues,Company culture,,Building something that matters,,,Somewhat important,Finding time to job search,,Searching for a job that seems interesting,,,,,Rarely,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Great,Tolerate,I don't have an account,Tolerate,Tolerate,I don't have an account,Tolerate,,,,Team I would be working with isædescribed,Company culture is described,,Benefits / perks of the work environment are described,,,,,Tech stack,,,People I would be working with,Details about the product or project I'd be working on,Tolerate,Tolerate,Tolerate,Great,Great,Show meæmore live code,,,,Introduce me to the team,,,,Prepare me for who I will be speaking with,,It's a jobs site specificallyæfor programmers,Goodæselection of relevant jobs,,,,4,2-5 hours per week,Multipleætimes a day,,"PHPStorm, IntelliJ Idea",Light,Git,,,,,,,,,,,Git,,To get help for my job,,,,,,,,,Usually,,,,,,,"I don't answer much (or at all), and I don't want to",
5612,Indonesia,20-24,Male,Tabs,6 - 10 years,Embedded application developer,Windows 8,,,Arduino / Raspberry Pi,,C,C++,,C#,,,,,,,,,,,,,,,Matlab,,,,,,,,,,,,,,,,,,,,,,,Arduino / Raspberry Pi,,C,C++,C++11,C#,,,,,,,,,,,,,,,Matlab,,,,,,,,,Ruby,,,,,,SQL,,,,,,,No formal training; I'm self-taught,,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,Some college coursework in Computer Science (or related field) but no degree,,,,,Rather not say,Rather not say,Freelance / Contractor,Education,I'm somewhat satisfied with my job,"I influence purchasing decisions, but don't have final approval",I rarely work remote,Yes,I am not interested in other job opportunities,,,,,Industry,,,,,Opportunity for advancement,,,,Company culture,,,,,Neutral - I don't mind working in the office or remotely,,,Searching for a job that seems interesting,Interesting companies rarely respond,Writing my CV and keeping it updated,,,Never,I wish more recruiters contacted me!,Tolerate,Great,Hate,Tolerate,Tolerate,Hate,Tolerate,Message is personalized,,,Team I would be working with isædescribed,Company culture is described,,,,,,Company name,,,Job title,,,Tolerate,Tolerate,Great,Great,Great,Show meæmore live code,,,Introduce me to the boss,,,,Fewer brainteasers,,,,,,,,1,2-5 hours per week,Multipleætimes a day,NotePad++,,Dark,,,,,,,,,,I don't use source control,,Legacy / Custom,,To get help for my job,,,,,To communicate with others like me,,,,Usually,,,,,,,,"I don't answer much (or at all), but I want to answer more"
5700,Indonesia,20-24,Male,Tabs,6 - 10 years,Embedded application developer,Ubuntu,,,Arduino / Raspberry Pi,,C,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,Python,,,,,,,,,SQL,,,,,Wordpress,,Android,,,,,C++11,,,,,,,,,,,,,,,,,,,,,,,,,Ruby,,,,,,,,,,,,,,On-the-job training,,,,,,Bachelor of Science in Computer Science (or related field),,,,"Less than $20,000",10000,Freelance / Contractor,Manufacturing,I'm somewhat satisfied with my job,I can recommend or request products,Part-time Remote,Yes,I am actively looking for a new job,Salary,,,,,,,,,Opportunity for advancement,Job title,,,,,,,,Neutral - I don't mind working in the office or remotely,,Finding an open job that I'm qualified for,,,,Taking time off work to interview,,About once a week,I wish more recruiters contacted me!,Great,I don't have an account,I don't have an account,Great,Hate,Hate,Hate,,Code or projects I've worked on are referenced,,,,,,,Salary,,,,Office location,Job title,,Details about the product or project I'd be working on,Tolerate,Tolerate,Great,Great,Great,,,Offer remote interviews (ie. via video conference),Introduce me to the boss,Introduce me to the team,,,,,,,,,,,0,10-20 hours per week,Multipleætimes a day,,Geany,Light,Git,,,,,,,,,,,Git,,,,,,,,,,,,,,,,,,,
6033,Indonesia,20-24,Male,It depends,Less than 1 year,Embedded application developer,Windows 8,,Android,,,C,,,,,,,,,,,,,,,Java,,,,,,,,PHP,,,,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,Java,,,,,,,,PHP,Python,,,,,,,,,,,,,,,,,On-the-job training,,,,,,,,,,,,I'm a student,,,,,No (I'm a student),I am open to new job opportunities,,,,,,,,,,Opportunity for advancement,,,,,,,,,Very important,,,,Interesting companies rarely respond,,,,Rarely,I wish more recruiters contacted me!,Great,Great,Hate,Great,Hate,Hate,Hate,,,,Team I would be working with isædescribed,Company culture is described,,Benefits / perks of the work environment are described,,Salary,Benefits,Company name,,Office location,Job title,,Details about the product or project I'd be working on,Tolerate,Tolerate,Tolerate,Great,Great,,,,Introduce me to the boss,Introduce me to the team,,,,Prepare me for who I will be speaking with,,,,,,,3,5-10 hours per week,Once a day,Sublime Text,,Dark,Git,,,,,,,,,,,Git,,,To give help to others,,,,,,Because I love to learn,,Usually,It feels good to help a programmer in need,,,,,,,
6201,Indonesia,30-34,Male,Spaces,6 - 10 years,Enterprise level services developer,Windows 7,,,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,SQL,,,,,,SEEBURGER-specific language,,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,SQL,,,,,,,No formal training; I'm self-taught,,"Intensive code ""boot-camp"" or night school",,,,,Bachelor of Science in Computer Science (or related field),,,,"Less than $20,000",10000,Employed full-time,Finance / Banking,I'm somewhat satisfied with my job,I have no say in purchasing what I need or want at work,Never,No,I am open to new job opportunities,Salary,,,,,,,,Work/life balance,,,,,,,Building something that matters,,,Neutral - I don't mind working in the office or remotely,Finding time to job search,,Searching for a job that seems interesting,,Writing my CV and keeping it updated,,,Never,,Great,I don't have an account,I don't have an account,Great,Great,Hate,Hate,Message is personalized,,,Team I would be working with isædescribed,,Salary information is provided,,,Salary,,,,,,,Details about the product or project I'd be working on,Tolerate,Tolerate,Tolerate,Great,Tolerate,,,,Introduce me to the boss,Introduce me to the team,,,,Prepare me for who I will be speaking with,,,,,,,1,2-5 hours per week,Once a week,NotePad++,,Light,,,SVN,,,,,,,,,Git,,To get help for my job,To give help to others,,,,,,Because I love to learn,,Usually,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,It feels good to demonstrate my expertise.,Demonstrating my expertise will benefit me,,,,"I don't answer much (or at all), but I want to answer more"
6489,Indonesia,35-39,Male,It depends,11+ years,Enterprise level services developer,Windows 7,,,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,Delphi,,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,Delphi,,On-the-job training,,,,Industry certification program,,,,,,"Less than $20,000",10000,Employed full-time,Software Products,Other (please specify),"I influence purchasing decisions, but don't have final approval",Never,No,I am open to new job opportunities,Salary,,Ability to make or influence important decisions,,,,Company size,,,,,,,,,,,,Somewhat important,,,,,,Taking time off work to interview,,Rarely,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Great,Tolerate,I don't have an account,Great,Hate,I don't have an account,Hate,,,,,Company culture is described,Salary information is provided,Benefits / perks of the work environment are described,,Salary,Benefits,,,,Job title,,,Great,Tolerate,Tolerate,Great,Tolerate,,,,Introduce me to the boss,,,,,Prepare me for who I will be speaking with,,,,,,,1,2-5 hours per week,Once a day,,EditPad Lite,Light,,,SVN,,,,,,,,,SVN,,To get help for my job,,,,,,To receive help onæmy personal projects,Because I love to learn,,Usually,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,,,,,,"I don't answer much (or at all), but I want to answer more"
6934,Indonesia,30-34,Male,Spaces,11+ years,"Executive (VP of Eng., CTO, CIO, etc.)",Windows 8,,,,,,,,,,,,,,,,,,,,Java,JavaScript,LAMP,,MongoDB,,,,PHP,,,,,,,,,,SQL,,,,,,,,,AngularJS,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,,,,,Node.js,,,,,,,,,,,,,,,,,,,,No formal training; I'm self-taught,,,,,,,Bachelor of Science in Computer Science (or related field),,,,"$20,000 - $40,000",30000,Employed full-time,Software Products,I'm somewhat satisfied with my job,I can buy anything I want without asking anyone,Part-time Remote,No,I am not interested in other job opportunities,,,,,,,,,,,,,,,,,,,Somewhat important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7080,Indonesia,25-29,Male,Spaces,1 - 2 years,Front-end web developer,Windows 7,,,,,,,,,,,,,,,,,,,,Java,,,,,,,,PHP,,,,,,,,,,,,,Visual Basic,,,,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor of Science in Computer Science (or related field),,,,,,Freelance / Contractor,Consulting,I'm somewhat dissatisfied with my job,Other,Never,No,I am open to new job opportunities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7081,Indonesia,25-29,Male,Tabs,2 - 5 years,Front-end web developer,Windows 7,,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JavaScript,,,MongoDB,Node.js,,,,,,,,,,,,,,,,,,,,No formal training; I'm self-taught,,,,,,,Bachelor of Science in Computer Science (or related field),,,,Rather not say,Rather not say,Employed full-time,Consulting,I'm somewhat satisfied with my job,I have no say in purchasing what I need or want at work,I rarely work remote,Yes,I am open to new job opportunities,Salary,,,,,,,,Work/life balance,,,,,,,,,,Neutral - I don't mind working in the office or remotely,Finding time to job search,Finding an open job that I'm qualified for,Searching for a job that seems interesting,,,,,Never,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Great,I don't have an account,I don't have an account,Tolerate,I don't have an account,I don't have an account,Tolerate,Message is personalized,,,,,,,,Salary,Benefits,,,Office location,,,,Tolerate,Tolerate,Tolerate,Tolerate,Great,,Be more flexible about interview scheduling,,,,,Show me the space in which I will work,,Prepare me for who I will be speaking with,,,,,,,1,2-5 hours per week,Once a day,Sublime Text,,Dark,Git,,,,,,,,,,,Git,,To get help for my job,,,,,,,,,Sometimes,,,,,,,"I don't answer much (or at all), and I don't want to",
8150,Indonesia,20-24,Male,Tabs,2 - 5 years,Front-end web developer,,,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JavaScript,,,,Node.js,,,PHP,Python,,,Ruby,,,,,,SQL,,,,,,,No formal training; I'm self-taught,On-the-job training,,,,,,,,,,"Less than $20,000",10000,Employed full-time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8151,Indonesia,20-24,Male,Spaces,2 - 5 years,Front-end web developer,Windows 7,,,,AngularJS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AngularJS,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8152,Indonesia,< 20,Male,Tabs,2 - 5 years,Front-end web developer,Windows 7,,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,,,,jQuery,,,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,,,,,Unemployed,Unemployed,I'm a student,,,,,No (I'm a student),I am not interested in other job opportunities,,,,,,,,,,,,Office location,,,Company reputation,Building something that matters,,,Neutral - I don't mind working in the office or remotely,,,,,,,,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20+ hours per week,Once a day,NotePad++,,Dark,,,,,,,,,,I don't use source control,,,,To get help for my job,To give help to others,,,,To communicate with others like me,,Because I love to learn,,Usually,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,,,,,,
