,Respondent,Professional,ProgramHobby,Country,University,EmploymentStatus,FormalEducation,MajorUndergrad,HomeRemote,CompanySize,CompanyType,YearsProgram,YearsCodedJob,YearsCodedJobPast,DeveloperType,WebDeveloperType,MobileDeveloperType,NonDeveloperType,CareerSatisfaction,JobSatisfaction,ExCoderReturn,ExCoderNotForMe,ExCoderBalance,ExCoder10Years,ExCoderBelonged,ExCoderSkills,ExCoderWillNotCode,ExCoderActive,PronounceGIF,ProblemSolving,BuildingThings,LearningNewTech,BoringDetails,JobSecurity,DiversityImportant,AnnoyingUI,FriendsDevelopers,RightWrongWay,UnderstandComputers,SeriousWork,InvestTimeTools,WorkPayCare,KinshipDevelopers,ChallengeMyself,CompetePeers,ChangeWorld,JobSeekingStatus,HoursPerWeek,LastNewJob,AssessJobIndustry,AssessJobRole,AssessJobExp,AssessJobDept,AssessJobTech,AssessJobProjects,AssessJobCompensation,AssessJobOffice,AssessJobCommute,AssessJobRemote,AssessJobLeaders,AssessJobProfDevel,AssessJobDiversity,AssessJobProduct,AssessJobFinances,ImportantBenefits,ClickyKeys,JobProfile,ResumePrompted,LearnedHiring,ImportantHiringAlgorithms,ImportantHiringTechExp,ImportantHiringCommunication,ImportantHiringOpenSource,ImportantHiringPMExp,ImportantHiringCompanies,ImportantHiringTitles,ImportantHiringEducation,ImportantHiringRep,ImportantHiringGettingThingsDone,Currency,Overpaid,TabsSpaces,EducationImportant,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,CousinEducation,WorkStart,HaveWorkedLanguage,WantWorkLanguage,HaveWorkedFramework,WantWorkFramework,HaveWorkedDatabase,WantWorkDatabase,HaveWorkedPlatform,WantWorkPlatform,IDE,AuditoryEnvironment,Methodology,VersionControl,CheckInCode,ShipIt,OtherPeoplesCode,ProjectManagement,EnjoyDebugging,InTheZone,DifficultCommunication,CollaborateRemote,MetricAssess,EquipmentSatisfiedMonitors,EquipmentSatisfiedCPU,EquipmentSatisfiedRAM,EquipmentSatisfiedStorage,EquipmentSatisfiedRW,InfluenceInternet,InfluenceWorkstation,InfluenceHardware,InfluenceServers,InfluenceTechStack,InfluenceDeptTech,InfluenceVizTools,InfluenceDatabase,InfluenceCloud,InfluenceConsultants,InfluenceRecruitment,InfluenceCommunication,StackOverflowDescribes,StackOverflowSatisfaction,StackOverflowDevices,StackOverflowFoundAnswer,StackOverflowCopiedCode,StackOverflowJobListing,StackOverflowCompanyPage,StackOverflowJobSearch,StackOverflowNewQuestion,StackOverflowAnswer,StackOverflowMetaChat,StackOverflowAdsRelevant,StackOverflowAdsDistracting,StackOverflowModeration,StackOverflowCommunity,StackOverflowHelpful,StackOverflowBetter,StackOverflowWhatDo,StackOverflowMakeMoney,Gender,HighestEducationParents,Race,SurveyLong,QuestionsInteresting,QuestionsConfusing,InterestedAnswers,Salary,ExpectedSalary
4419,4420,Professional developer,"Yes, I program as a hobby",Indonesia,I prefer not to say,"Independent contractor, freelancer, or self-employed",Secondary school,,"More than half, but not all, the time",,,3 to 4 years,3 to 4 years,,Web developer; Database administrator,,,,8.0,8.0,,,,,,,,,"With a hard ""g,"" like ""gift""",,,,,,,,,,,,,,,,,,I am actively looking for a job,15.0,Not applicable/ never,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agile,Git,Multiple times a day,Somewhat agree,Somewhat agree,Disagree,Agree,Disagree,Somewhat agree,Agree,Customer satisfaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4864,4865,Student,"Yes, I contribute to open source projects",Indonesia,"Yes, full-time","Not employed, but looking for work",Secondary school,,,,,3 to 4 years,,,,,,,,,,,,,,,,,"With a hard ""g,"" like ""gift""",,,,,,,,,,,,,,,,,,I am actively looking for a job,2.0,Not applicable/ never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agile; Pair; Kanban,Git,Once a day,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Lines of code; Bugs found; Customer satisfaction; Benchmarked product performance; On time/in budget; Revenue performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5028,5029,None of these,"Yes, I program as a hobby",Indonesia,No,"Independent contractor, freelancer, or self-employed",Doctoral degree,Something else,,,,1 to 2 years,,,,,,,10.0,,,,,,,,,,Some other way,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5396,5397,Professional non-developer who sometimes writes code,"Yes, both",Indonesia,No,"Independent contractor, freelancer, or self-employed",Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",All or almost all the time (I'm full-time remote),,,8 to 9 years,4 to 5 years,,,,,,7.0,7.0,,,,,,,,,"With a hard ""g,"" like ""gift""",Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Disagree,Somewhat agree,Strongly agree,Somewhat agree,Agree,Somewhat agree,Strongly agree,Agree,Somewhat agree,I am not interested in new job opportunities,,Not applicable/ never,,,,,,,,,,,,,,,,Annual bonus; Charitable match; Health benefits; Expected work hours,Yes,,,,,,,,,,,,,,,,Spaces,,On-the-job training; Self-taught; Open source contributions,Trade book; Stack Overflow Docs; Non-Stack online communities; Company internal community; Friends network,,,6:00 AM,C; C++; JavaScript; PHP; Python,,Node.js,AngularJS; Firebase,MySQL,,Android; Linux Desktop; WordPress,Arduino; Raspberry Pi,Vim,Put on a movie or TV show,Waterfall; Agile; Pair,Git,Just a few times over the year,Disagree,Agree,Somewhat agree,Disagree,Strongly agree,Somewhat agree,Disagree,,Not very satisfied,Not very satisfied,Not very satisfied,Somewhat satisfied,Not very satisfied,Somewhat satisfied,,,,,,,,,,,,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",10.0,Desktop; Android browser,At least once each day,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,At least once each day,Once or twice,Strongly agree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Male,,,,,,,,
6111,6112,Professional developer,"Yes, I contribute to open source projects",Indonesia,No,"Independent contractor, freelancer, or self-employed",Secondary school,,All or almost all the time (I'm full-time remote),,,7 to 8 years,6 to 7 years,,Web developer,Full stack Web developer,,,8.0,6.0,,,,,,,,,"With a hard ""g,"" like ""gift""",Somewhat agree,Somewhat agree,Agree,Disagree,Agree,Strongly disagree,Strongly agree,Disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Agree,"I'm not actively looking, but I am open to new opportunities",0.0,Less than a year ago,Not very important,Somewhat important,Somewhat important,Important,Very important,Important,Very important,Important,Important,Somewhat important,Somewhat important,Somewhat important,Not at all important,Not very important,Very important,Annual bonus; Vacation/days off; Equipment; Professional development sponsorship; Remote options,Yes,,I was just giving it a regular update,,Important,Somewhat important,Very important,Not very important,Not very important,Somewhat important,Not at all important,Not at all important,Not very important,Very important,,,Spaces,,,,,,10:00 AM,,,AngularJS; Node.js; React,AngularJS; Node.js,Redis; MySQL,MongoDB; Redis,Linux Desktop; Amazon Web Services (AWS),Linux Desktop,Sublime Text,Turn on some music,Agile; Scrum; Extreme; Domain-driven design,Git,Multiple times a day,Agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,Agree,,,,,,,,,,,,,,,,,,,I have created a CV or Developer Story on Stack Overflow,7.0,Desktop,Once or twice,Haven't done at all,Several times,Once or twice,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,,,,,,,,,Male,High school,I prefer not to say,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,,
6945,6946,Professional non-developer who sometimes writes code,"Yes, I program as a hobby",Indonesia,No,"Independent contractor, freelancer, or self-employed",Secondary school,,All or almost all the time (I'm full-time remote),,,2 to 3 years,Less than a year,,,,,Designer or illustrator; Other,1.0,1.0,,,,,,,,,"With a hard ""g,"" like ""gift""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,Tabs,,Self-taught,Official documentation; Trade book; Textbook; Stack Overflow Q&A; Non-Stack online communities; Company internal community; Friends network; Built-in help,,Return to college; Take online courses; Buy books and work through the exercises,7:00 AM,PHP; SQL,Groovy; Java; JavaScript; PHP; SQL,,,MySQL,MongoDB; MySQL,Windows Desktop,Android; Windows Desktop,Notepad++; Sublime Text; Eclipse,Keep the room absolutely quiet,,I don't use version control,,Somewhat agree,Strongly agree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Agree,,Somewhat satisfied,Not very satisfied,Not very satisfied,Not very satisfied,Not very satisfied,Satisfied,,,,,,,,,,,,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",3.0,Desktop,At least once each day,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,At least once each week,Haven't done at all,Haven't done at all,Somewhat agree,Disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Male,High school,I prefer not to say,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,
6993,6994,Professional non-developer who sometimes writes code,No,Indonesia,No,Employed full-time,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",Never,20 to 99 employees,Non-profit/non-governmental organization or private school/university,4 to 5 years,2 to 3 years,,,,,Analyst or consultant; Data scientist; Designer or illustrator; Educator or academic,7.0,7.0,,,,,,,,,"With a soft ""g,"" like ""jiff""",Agree,Agree,Agree,Disagree,Agree,Agree,Somewhat agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Somewhat agree,Agree,Agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,No,Other,,A general-purpose job board,Important,Important,Somewhat important,Not very important,Important,Somewhat important,,Somewhat important,Not very important,Somewhat important,,,Tabs,,,,,,6:00 PM,Java; JavaScript; PHP; SQL; VB.NET; VBA; Visual Basic 6,Java; JavaScript; PHP; SQL; VB.NET; VBA; Visual Basic 6,,,SQL Server; MySQL,,Windows Phone,,Notepad++; NetBeans; Visual Studio,Turn on some music,,Copying and pasting files to network shares,Multiple times a day,Disagree,Somewhat agree,Strongly disagree,Agree,Agree,Disagree,Strongly disagree,,Not very satisfied,Satisfied,Somewhat satisfied,Not very satisfied,Not at all satisfied,Not at all satisfied,I am the final decision maker,I am the final decision maker,I am the final decision maker,I am the final decision maker,I am the final decision maker,I am the final decision maker,I am the final decision maker,I am the final decision maker,I am the final decision maker,I am the final decision maker,I am the final decision maker,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",10.0,Desktop,Several times,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Somewhat agree,Agree,Strongly disagree,Male,"Some college/university study, no bachelor's degree",,Disagree,Agree,Disagree,Agree,,
7078,7079,Professional developer,"Yes, I program as a hobby",Indonesia,No,Employed full-time,Bachelor's degree,Management information systems,A few days each month,500 to 999 employees,Venture-funded startup,4 to 5 years,4 to 5 years,,Web developer; Database administrator; Systems administrator; Quality assurance engineer,,,,10.0,10.0,,,,,,,,,"With a hard ""g,"" like ""gift""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,LinkedIn,A recruiter contacted me,Some other way,Very important,Not at all important,Very important,Very important,Somewhat important,Not at all important,Somewhat important,Not at all important,Very important,Very important,,Somewhat underpaid,Tabs,Not at all important,Online course; Self-taught; Coding competition; Open source contributions,Official documentation; Stack Overflow Q&A; Non-Stack online communities; Company internal community,,,5:00 PM,Elixir; Java; JavaScript; Perl; PHP; SQL,Go; Ruby; TypeScript,AngularJS; React; Cordova,,Redis; SQL Server; MySQL; Oracle,Redis; PostgreSQL,Windows Desktop; Linux Desktop; Amazon Web Services (AWS),Android; iOS; Windows Desktop; Linux Desktop; Mac OS; Salesforce; WordPress; Amazon Web Services (AWS),Atom; Notepad++; Sublime Text; Visual Studio Code,Put on a movie or TV show,Waterfall; Agile; Scrum; Kanban,Git,Multiple times a day,Strongly disagree,Strongly agree,Somewhat agree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Customer satisfaction; Benchmarked product performance; On time/in budget; Revenue performance; Manager's rating; Other,Not very satisfied,Somewhat satisfied,Somewhat satisfied,Not very satisfied,Not very satisfied,Somewhat satisfied,Some influence,Some influence,No influence at all,Some influence,Some influence,Some influence,Some influence,Some influence,No influence at all,No influence at all,No influence at all,I have created a CV or Developer Story on Stack Overflow,7.0,Desktop,At least once each day,Once or twice,At least once each day,Several times,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Disagree,Male,"Some college/university study, no bachelor's degree",East Asian,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,1.49577443721487,
7191,7192,Professional developer,"Yes, I program as a hobby",Indonesia,No,"Independent contractor, freelancer, or self-employed",Bachelor's degree,"Information technology, networking, or system administration",About half the time,,,7 to 8 years,1 to 2 years,,Web developer; Developer with a statistics or mathematics background; Data scientist,,,,6.0,2.0,,,,,,,,,"With a hard ""g,"" like ""gift""",,,,,,,,,,,,,,,,,,"I'm not actively looking, but I am open to new opportunities",4.0,Between 1 and 2 years ago,Important,Important,Important,Very important,Important,Important,Very important,Very important,Somewhat important,Very important,Important,Very important,Important,Important,Very important,Stock options; Annual bonus; Professional development sponsorship; Education sponsorship; Remote options,No,LinkedIn,I was just giving it a regular update,,Very important,Very important,Important,Not very important,Very important,Not very important,Somewhat important,Somewhat important,Somewhat important,Very important,,,Tabs,,,,,,6:00 PM,PHP; Python,JavaScript; Perl; PHP; Python,,Node.js,MySQL; SQLite,MySQL; SQLite,Windows Desktop; Linux Desktop; WordPress,Windows Desktop; Linux Desktop; WordPress,Sublime Text,Turn on some music,,Git,Multiple times a day,Agree,Agree,Strongly disagree,Agree,Strongly agree,Disagree,Disagree,Lines of code; Release frequency; Customer satisfaction; Benchmarked product performance; On time/in budget,Satisfied,Satisfied,Satisfied,Satisfied,Somewhat satisfied,Somewhat satisfied,,,,,,,,,,,,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",9.0,Desktop,At least once each day,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Agree,Disagree,Disagree,Agree,Strongly agree,Agree,Agree,Disagree,Male,High school,East Asian,Somewhat agree,Agree,Disagree,Agree,,
7207,7208,None of these,"Yes, both",Indonesia,No,"Independent contractor, freelancer, or self-employed",Secondary school,,,,,3 to 4 years,,,,,,,8.0,,,,,,,,,,"With a hard ""g,"" like ""gift""",Agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Somewhat agree,Strongly agree,Disagree,Somewhat agree,Disagree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,Disagree,Strongly agree,"I'm not actively looking, but I am open to new opportunities",2.0,Not applicable/ never,Important,Very important,Very important,Somewhat important,Very important,Important,Important,Somewhat important,Not very important,Not at all important,Very important,Not very important,Not very important,Somewhat important,Very important,Vacation/days off; Expected work hours,Yes,,,,,,,,,,,,,,,,Tabs,,,,,,,,,,,,,,,,,,Copying and pasting files to network shares,Multiple times a day,,,,,,,,,Somewhat satisfied,Satisfied,Not very satisfied,Very satisfied,Very satisfied,Not very satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7301,7302,Professional developer,"Yes, I contribute to open source projects",Indonesia,No,Employed full-time,Some college/university study without earning a bachelor's degree,Computer engineering or electrical/electronics engineering,All or almost all the time (I'm full-time remote),Fewer than 10 employees,"Privately-held limited company, not in startup mode",9 to 10 years,4 to 5 years,,Web developer; Machine learning specialist; Developer with a statistics or mathematics background; Data scientist,,,,10.0,9.0,,,,,,,,,"With a hard ""g,"" like ""gift""",Agree,Agree,Strongly agree,Disagree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Strongly agree,Disagree,Agree,Agree,Somewhat agree,Agree,I am not interested in new job opportunities,,Not applicable/ never,,,,,,,,,,,,,,,,Stock options; Health benefits; Equipment; Expected work hours; Remote options,Yes,LinkedIn; Other,I was just giving it a regular update,A general-purpose job board,Important,Important,Somewhat important,Very important,Not very important,Somewhat important,Not very important,Not at all important,Very important,Somewhat important,Bitcoin (btc),Somewhat underpaid,Spaces,,,,,,4:00 PM,CoffeeScript; Go; JavaScript; Python,Go; Python,,Hadoop; React,,,,,Atom; IPython / Jupyter,Keep the room absolutely quiet,,,,,,,,,,,,Satisfied,Satisfied,Not very satisfied,Not very satisfied,Somewhat satisfied,Satisfied,I am the final decision maker,No influence at all,A lot of influence,A lot of influence,I am the final decision maker,I am the final decision maker,I am the final decision maker,A lot of influence,Some influence,Some influence,A lot of influence,I have created a CV or Developer Story on Stack Overflow,9.0,Desktop; Android browser; Android app,At least once each week,At least once each week,Haven't done at all,Haven't done at all,Haven't done at all,Once or twice,Several times,Haven't done at all,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,Strongly agree,Agree,Strongly disagree,Male,A professional degree,White or of European descent; I don’t know,Disagree,Agree,Disagree,Strongly agree,23636.3636363636,
7357,7358,Professional developer,No,Indonesia,No,Employed full-time,Bachelor's degree,"Information technology, networking, or system administration",Never,100 to 499 employees,I don't know,5 to 6 years,4 to 5 years,,Mobile developer,,iOS,,5.0,7.0,,,,,,,,,"With a hard ""g,"" like ""gift""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Other,"I completed a major project, assignment, or contract",A career fair or on-campus recruiting event,Somewhat important,Important,Important,Not very important,Important,Not very important,Somewhat important,Somewhat important,Somewhat important,Important,,Somewhat underpaid,Tabs,Important,On-the-job training; Self-taught,Textbook; Stack Overflow Q&A; Stack Overflow Docs,,Take online courses; Bootcamp; Participate in online coding competitions,8:00 AM,Objective-C; Swift,C#; JavaScript; Objective-C; Ruby; Swift,Node.js,AngularJS; Node.js; React,MongoDB; SQLite,MongoDB; PostgreSQL; SQLite,iOS; Amazon Web Services (AWS),Android; iOS; Serverless; SharePoint; Amazon Web Services (AWS),Visual Studio Code; Xcode,Turn on some music,Waterfall; Agile; Scrum,Git,Multiple times a day,Disagree,Somewhat agree,Somewhat agree,Agree,Agree,Disagree,Disagree,Benchmarked product performance; On time/in budget; Revenue performance; Manager's rating; Peers' rating; Self-rating,Satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Not very satisfied,Somewhat satisfied,Some influence,Not much influence,No influence at all,Not much influence,Not much influence,No influence at all,Not much influence,Not much influence,No influence at all,Not much influence,Not much influence,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",8.0,Desktop,At least once each week,Several times,Haven't done at all,Haven't done at all,Once or twice,Once or twice,Several times,Once or twice,Somewhat agree,Disagree,Disagree,Agree,Agree,Agree,Somewhat agree,Disagree,Male,A master's degree,South Asian,Agree,Somewhat agree,Somewhat agree,Agree,7179.71729863137,
7406,7407,Professional developer,"Yes, I program as a hobby",Indonesia,No,Employed full-time,Bachelor's degree,"Information technology, networking, or system administration",Never,Fewer than 10 employees,Government agency or public school/university,7 to 8 years,4 to 5 years,,Web developer; Desktop applications developer,,,,10.0,7.0,,,,,,,,,"With a hard ""g,"" like ""gift""",,,,,,,,,,,,,,,,,,I am not interested in new job opportunities,,Less than a year ago,,,,,,,,,,,,,,,,Equipment; Private office; Remote options,Yes,LinkedIn,I saw an employer's advertisement,I was contacted directly by someone at the company (e.g. internal recruiter),Very important,Very important,Somewhat important,Important,Important,Not very important,Not very important,Not very important,Important,Important,,,Tabs,Important,Self-taught; Open source contributions,Official documentation; Trade book; Stack Overflow Q&A; Stack Overflow Docs,,Take online courses; Contribute to open source; Buy books and work through the exercises,10:00 AM,C#; JavaScript,,React,.NET Core,SQL Server,,,,PHPStorm; Visual Studio; Visual Studio Code,Turn on some music,Waterfall,Git,A few times a week,Disagree,Somewhat agree,Disagree,Agree,Somewhat agree,Somewhat agree,Agree,Bugs found; Customer satisfaction; Peers' rating,Satisfied,Very satisfied,Satisfied,Satisfied,Somewhat satisfied,Very satisfied,A lot of influence,A lot of influence,Some influence,A lot of influence,A lot of influence,No influence at all,A lot of influence,No influence at all,Not much influence,No influence at all,No influence at all,I have created a CV or Developer Story on Stack Overflow,9.0,Desktop; Android app,Several times,Several times,Once or twice,Several times,Several times,Several times,At least once each week,Haven't done at all,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,Disagree,Disagree,Male,Primary/elementary school,,Somewhat agree,Agree,Disagree,Strongly agree,,
7604,7605,Student,"Yes, I program as a hobby",Indonesia,No,"Not employed, and not looking for work",I never completed any formal education,,,,,2 to 3 years,,,,,,,,,,,,,,,,,Some other way,,,,,,,,,,,,,,,,,,"I'm not actively looking, but I am open to new opportunities",40.0,,Not at all important,Somewhat important,Somewhat important,Not at all important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Not at all important,Very important,Not at all important,Somewhat important,Very important,Retirement; Annual bonus; Health benefits; Child/elder care; Meals,Yes,Other,,,Very important,Somewhat important,Somewhat important,Not at all important,Somewhat important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,U.S. dollars ($),,Spaces,,,,,,6:00 AM,,C#; Java; PHP; SQL; VB.NET,,,,SQL Server; MySQL,,Windows Desktop,,,,Zip file back-ups,Multiple times a day,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Lines of code; Bugs found; Hours worked,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7607,7608,Student,"Yes, both",Indonesia,"Yes, full-time","Not employed, but looking for work",I prefer not to answer,,,,,5 to 6 years,,,,,,,,,,,,,,,,,"With a soft ""g,"" like ""jiff""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extreme,Git,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7705,7706,Professional developer,"Yes, both",Indonesia,No,"Independent contractor, freelancer, or self-employed",Bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),,,18 to 19 years,17 to 18 years,,Developer with a statistics or mathematics background; Data scientist,,,,8.0,10.0,,,,,,,,,"With a hard ""g,"" like ""gift""",Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Disagree,Strongly agree,Agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Disagree,I am not interested in new job opportunities,,Not applicable/ never,,,,,,,,,,,,,,,,Retirement; Health benefits; Professional development sponsorship; Remote options; Child/elder care,No,LinkedIn,A recruiter contacted me,,Very important,Not very important,Important,Very important,Not very important,Not at all important,Not at all important,Not at all important,Not at all important,Somewhat important,,,Both,,,,,,5:00 AM,Haskell; JavaScript; Python,Rust,Node.js; React,,Cassandra,Cassandra,Amazon Web Services (AWS),Microsoft Azure,Vim; IntelliJ,Turn on some music,,,,,,,,,,,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,,,,,,,,,,,,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",5.0,Desktop,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,At least once each week,At least once each week,Haven't done at all,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Agree,Somewhat agree,Strongly disagree,Disagree,,High school,I don’t know,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,,
8316,8317,Professional developer,"Yes, both",Indonesia,"Yes, full-time",Employed part-time,Some college/university study without earning a bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),Fewer than 10 employees,Pre-series A startup,6 to 7 years,3 to 4 years,,Web developer; Developer with a statistics or mathematics background; Data scientist; Database administrator,,,,9.0,6.0,,,,,,,,,"With a soft ""g,"" like ""jiff""",Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Disagree,Strongly agree,,,,,,,,,,,,,,,,,,,,No,LinkedIn; Other,A recruiter contacted me,A tech-specific job board,Important,Important,Very important,Important,Important,Important,Important,Somewhat important,Important,Very important,U.S. dollars ($),,Spaces,Somewhat important,Online course; Part-time/evening course; Self-taught; Hackathon,Official documentation; Trade book; Stack Overflow Q&A; Stack Overflow Docs; Built-in help,,Take online courses; Contribute to open source; Buy books and work through the exercises; Conferences/meet-ups,10:00 AM,JavaScript; Ruby; SQL,C; C++; Go; JavaScript; Swift,AngularJS,Hadoop; React; Cordova,Redis; MySQL; PostgreSQL,MongoDB; Redis; PostgreSQL,Mac OS; Amazon Web Services (AWS),Linux Desktop; Mac OS; Mainframe,Atom; Sublime Text; Vim,Turn on some music,Agile,Git,Multiple times a day,,Disagree,Disagree,Strongly agree,Strongly agree,Somewhat agree,Agree,Commit frequency; Release frequency; Customer satisfaction; Benchmarked product performance; On time/in budget; Revenue performance; Peers' rating,,,,,,,,,,,,,,,,,,I have created a CV or Developer Story on Stack Overflow,10.0,Desktop,At least once each day,Once or twice,Once or twice,Haven't done at all,Several times,Several times,Several times,Haven't done at all,Disagree,Somewhat agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Male,High school,,Strongly agree,Somewhat agree,Agree,Agree,,
8320,8321,Professional developer,"Yes, I program as a hobby",Indonesia,No,"Not employed, but looking for work",Bachelor's degree,Computer science or software engineering,,,,9 to 10 years,2 to 3 years,,Mobile developer,,Android,,7.0,,,,,,,,,,"With a hard ""g,"" like ""gift""",Agree,Agree,Agree,Disagree,Agree,Somewhat agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Somewhat agree,Agree,Disagree,Strongly disagree,I am actively looking for a job,4.0,Not applicable/ never,Important,Not very important,Somewhat important,Important,Very important,Important,Important,Somewhat important,Important,Very important,Not very important,Important,Not very important,Not very important,Not very important,Annual bonus; Vacation/days off; Long-term leave; Remote options,Yes,Indeed; LinkedIn; Monster; Other,I saw an employer's advertisement,,Somewhat important,Important,Important,Not very important,Not very important,Somewhat important,Not very important,Somewhat important,Not very important,Important,,,Tabs,,,,,,8:00 AM,C#; Java; JavaScript; SQL,C#; Java; Objective-C; SQL; Swift,.NET Core,React; .NET Core,SQL Server; SQLite,MySQL; SQLite,Android,Android; Windows Desktop,Notepad++; Android Studio; Eclipse; Visual Studio Code,Turn on some music,Waterfall; Pair,Git,A few times a week,Disagree,Somewhat agree,Agree,Somewhat agree,Agree,Disagree,Somewhat agree,Customer satisfaction; Benchmarked product performance; On time/in budget; Peers' rating,,,,,,,,,,,,,,,,,,I have created a CV or Developer Story on Stack Overflow,9.0,Desktop; Android app,At least once each week,Once or twice,Once or twice,Haven't done at all,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly agree,Strongly disagree,Male,A bachelor's degree,East Asian,Somewhat agree,Somewhat agree,Strongly disagree,Agree,,
