,ResponseId,MainBranch,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,Country,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysProfessional use,OpSysPersonal use,VersionControlSystem,VCInteraction,VCHostingPersonal use,VCHostingProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,Blockchain,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Onboarding,ProfessionalTech,TrueFalse_1,TrueFalse_2,TrueFalse_3,SurveyLength,SurveyEase,ConvertedCompYearly
16548,16549,"I am not primarily a developer, but I write code sometimes as part of my work","Student, full-time;Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects;School or academic work,Some college/university study without earning a degree,"Books / Physical media;Other online resources (e.g., videos, blogs, forum)",Technical documentation;Blogs;Online books,,3,,"Student;Academic researcher;Developer, game or graphics",,,Visit developer communities like Stack Overflow,Indonesia,,,,Kotlin;Python;Rust,C#;C++;Kotlin;Python;Rust,,,,,,,,,,,Android Studio;Visual Studio Code,Android Studio;CLion;Rider;Visual Studio Code,Linux-based,Linux-based,Git,Command-line,,,,,Microsoft Teams;Zoom,,Favorable,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,Neutral,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Too long,Neither easy nor difficult,
16612,16613,I am a developer by profession,"Employed, full-time;Employed, part-time",Full in-person,Hobby;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Friend or family member;Coding Bootcamp;Colleague,,,5,2,"Data scientist or machine learning specialist;Developer, front-end;Developer, full-stack;Developer, back-end;Data or business analyst",20 to 99 employees,I have some influence,Start a free trial,Indonesia,IDR	Indonesian rupiah,2000000.0,Monthly,Dart;Java;Kotlin;MATLAB;PHP;Python;SQL,Go,MariaDB;MySQL;SQLite,MongoDB;PostgreSQL,DigitalOcean;Heroku,AWS,Django;Flask;jQuery,,,,npm,,Android Studio;IntelliJ;IPython/Jupyter;NetBeans;Notepad++;Visual Studio;Visual Studio Code,Xcode,Linux-based,Linux-based;Windows,Git,Command-line;Dedicated version control GUI application,,,Jira Work Management,,Slack;Zoom,,Favorable,Stack Overflow,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,Asian;Southeast Asian,None of the above,None of the above,Yes,Independent contributor,2.0,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,1-2 times a week,1-2 times a week,1-2 times a week,30-60 minutes a day,30-60 minutes a day,Just right,DevOps function,Yes,Yes,Yes,Appropriate in length,Difficult,1644.0
16849,16850,I am a developer by profession,I prefer not to say,,,Something else,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification;Coding Bootcamp",Written Tutorials;Stack Overflow;Video-based Online Courses;Online forum;How-to videos;Written-based Online Courses;Interactive tutorial,Udemy,4,1,,20 to 99 employees,I have little or no influence,Start a free trial,Indonesia,IDR	Indonesian rupiah,,Yearly,PHP;SQL,PHP;SQL,MariaDB;MySQL,MariaDB;MySQL,DigitalOcean;Firebase,DigitalOcean;Firebase,Laravel,Laravel,,,npm,npm,Visual Studio Code,Android Studio;Visual Studio Code,Windows,Windows,Git,Code editor;Command-line,,,ClickUp;Trello,,,,Indifferent,Stack Overflow,A few times per week,Yes,A few times per month or weekly,"Yes, somewhat",18-24 years old,Man,No,,,,,No,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,
16851,16852,I am a developer by profession,"Student, part-time",,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Video-based Online Courses;Online forum;How-to videos;Written-based Online Courses,Codecademy;Other,4,,,,,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,Indonesia,,,,C;HTML/CSS;JavaScript;PHP;SQL,Go;Python;TypeScript,MySQL;Oracle,DynamoDB;MariaDB;MongoDB,AWS;Firebase;Heroku;Managed Hosting;Microsoft Azure,,jQuery;Laravel;Node.js;Nuxt.js;Vue.js,Express;FastAPI;Next.js;React.js,,,npm;Unity 3D;Unreal Engine,Docker;Yarn,Android Studio;Atom;IntelliJ;NetBeans;Visual Studio Code,,,Windows,Git,Code editor;Command-line;Version control hosting service web GUI,,,,,Microsoft Teams;Slack,,Unsure,Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,
16875,16876,I am a developer by profession,"Independent contractor, freelancer, or self-employed;Employed, part-time",Fully remote,Hobby;Contribute to open-source projects;Bootstrapping a business;Freelance/contract work,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Books / Physical media,,,20,18,"Developer, front-end;Developer, full-stack;Developer, back-end;DevOps specialist;Project manager",2 to 9 employees,I have little or no influence,Visit developer communities like Stack Overflow;Ask developers I know/work with;Research companies that have advertised on sites I visit,Indonesia,IDR	Indonesian rupiah,50000000.0,Weekly,Bash/Shell;JavaScript;Objective-C;PHP;Swift,Bash/Shell;JavaScript;Objective-C;PHP;Swift,MariaDB;MySQL;Oracle;PostgreSQL,MariaDB;MySQL;Oracle;PostgreSQL,DigitalOcean;Google Cloud,DigitalOcean;Google Cloud,jQuery;Laravel;Node.js;React.js;Vue.js,jQuery;Laravel;Node.js;React.js;Vue.js,,,Homebrew;npm;Yarn,Homebrew;npm;Yarn,Sublime Text;Xcode,Sublime Text;Xcode,Linux-based;macOS;Windows,Linux-based;macOS;Windows,Git,Code editor;Command-line;Version control hosting service web GUI,,,Trello,Trello,Cisco Webex Teams;Microsoft Teams,Cisco Webex Teams;Microsoft Teams,Favorable,Collectives on Stack Overflow;Stack Overflow,Daily or almost daily,Yes,A few times per month or weekly,Neutral,25-34 years old,Man,No,Straight / Heterosexual,Asian,None of the above,None of the above,Yes,People manager,17.0,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,1-2 times a week,1-2 times a week,1-2 times a week,30-60 minutes a day,30-60 minutes a day,Somewhat short,DevOps function;Microservices;Developer portal or other central places to find tools/services;Automated testing,Yes,Yes,Yes,Appropriate in length,Easy,170650.0
17064,17065,I am learning to code,"Student, full-time",,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification","Technical documentation;Blogs;Stack Overflow;Online books;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);How-to videos;Coding sessions (live or recorded)",Udemy,4,,,,,Start a free trial;Research companies that have advertised on sites I visit;Research companies that have emailed me,Indonesia,,,,HTML/CSS;JavaScript;SQL,Go;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,PostgreSQL,Cloud Firestore;MySQL;PostgreSQL;Redis,Firebase;Heroku,AWS;Firebase,Express;Node.js;Vue.js,Deno;Express;Fastify;Next.js;Node.js;Nuxt.js;React.js;Svelte;Vue.js,,,npm;Yarn,Docker;npm;Yarn,Visual Studio Code,Visual Studio Code;Webstorm,Windows;Windows Subsystem for Linux (WSL),Linux-based;Windows;Windows Subsystem for Linux (WSL),Git,Dedicated version control GUI application,,,Notion,Notion;Trello,Microsoft Teams;Zoom,Microsoft Teams,Unsure,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Neutral,18-24 years old,Man,No,Straight / Heterosexual,Asian,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,
17084,17085,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Hobby;Bootstrapping a business;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification",Technical documentation;Blogs;Stack Overflow;Video-based Online Courses;How-to videos,Udemy,6,3,"Developer, front-end;Developer, back-end;Developer, mobile;Designer",20 to 99 employees,I have some influence,Start a free trial,Indonesia,IDR	Indonesian rupiah,,,HTML/CSS;JavaScript;PHP;TypeScript,Dart;HTML/CSS;JavaScript;PHP;TypeScript,,,,,Laravel;Vue.js,Laravel;Nuxt.js;Vue.js,,,,,Android Studio;PhpStorm;Visual Studio Code;Webstorm,Android Studio;PhpStorm;Visual Studio Code;Webstorm,macOS;Windows Subsystem for Linux (WSL),macOS;Windows;Windows Subsystem for Linux (WSL),Git,Dedicated version control GUI application,,,Notion;Trello,Notion;Trello,Zoom,,Indifferent,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Yes,Independent contributor,3.0,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Never,1-2 times a week,1-2 times a week,15-30 minutes a day,15-30 minutes a day,Just right,Innersource initiative;DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery;Automated testing;Observability tools,Yes,Yes,Yes,Appropriate in length,Easy,
17159,17160,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Bootstrapping a business;Freelance/contract work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Technical documentation;Blogs;Stack Overflow;Online books;Online forum;How-to videos;Interactive tutorial,,16,10,"Developer, front-end;Developer, full-stack;Developer, back-end",100 to 499 employees,I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd;Research companies that have emailed me,Indonesia,IDR	Indonesian rupiah,10000000.0,Monthly,HTML/CSS;JavaScript;SQL;TypeScript,Go;HTML/CSS;JavaScript,Cloud Firestore;MongoDB;MySQL,Cloud Firestore;MongoDB,AWS;DigitalOcean;Firebase;Google Cloud,Firebase;Google Cloud;Linode,Express;jQuery;Next.js;Node.js;Nuxt.js;React.js;Vue.js,Express;Node.js;Nuxt.js;Vue.js,,,Docker;npm;Yarn,npm;Yarn,Nano;Visual Studio Code,Atom;Nano;Visual Studio Code,Windows Subsystem for Linux (WSL),Windows;Windows Subsystem for Linux (WSL),Git,Code editor;Command-line;Version control hosting service web GUI,,,Asana;Notion;Trello,,Google Chat;Microsoft Teams;Rocketchat;Slack;Zoom,Slack,Unfavorable,Collectives on Stack Overflow;Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,Asian;Southeast Asian,,,Yes,Independent contributor,12.0,Strongly agree,Disagree,Disagree,Disagree,Agree,Agree,Neither agree nor disagree,Never,3-5 times a week,Never,30-60 minutes a day,15-30 minutes a day,Just right,Innersource initiative;DevOps function;Continuous integration (CI) and (more often) continuous delivery;Automated testing,Yes,Yes,Yes,Appropriate in length,Easy,8196.0
17275,17276,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Freelance/contract work;School or academic work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification;Colleague","Technical documentation;Written Tutorials;Stack Overflow;Online books;Online challenges (e.g., daily or weekly coding challenges);Online forum;How-to videos;Written-based Online Courses;Coding sessions (live or recorded)",Coursera;Udacity,14,10,"Developer, back-end;Student",100 to 499 employees,I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,Indonesia,IDR	Indonesian rupiah,41000000.0,Monthly,Go;Python;Scala;SQL,Go;Kotlin;Python;Rust;SQL,MySQL;PostgreSQL;Redis,MySQL;PostgreSQL;Redis,AWS;DigitalOcean,AWS;DigitalOcean,Laravel,Laravel,Apache Spark;Spring,Apache Spark;Spring,Docker;Homebrew;Kubernetes;Terraform,Docker;Homebrew;Kubernetes;Terraform,IntelliJ;Visual Studio Code,IntelliJ;Visual Studio Code,macOS,Linux-based,Git,Command-line,,,Confluence;Jira Work Management,Confluence;Jira Work Management,Slack;Zoom,Slack;Zoom,Unfavorable,Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, definitely",25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Yes,Independent contributor,10.0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,1-2 times a week,1-2 times a week,1-2 times a week,30-60 minutes a day,30-60 minutes a day,Somewhat long,DevOps function;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Automated testing,No,Yes,Yes,Appropriate in length,Easy,33588.0
17330,17331,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum);Online Courses or Certification;Coding Bootcamp",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Video-based Online Courses,Udemy,10,5,"Developer, full-stack;Developer, back-end;System administrator",100 to 499 employees,I have a great deal of influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2Crowd;Research companies that have emailed me,Indonesia,IDR	Indonesian rupiah,16000000.0,Monthly,Go;HTML/CSS;PHP;TypeScript,Go;HTML/CSS;PHP;Python,MariaDB;MySQL;PostgreSQL;Redis;SQLite,DynamoDB;Elasticsearch;MySQL;PostgreSQL;Redis,AWS;DigitalOcean;Google Cloud;Managed Hosting;Oracle Cloud Infrastructure;OVH,AWS;Google Cloud;Managed Hosting;Oracle Cloud Infrastructure,Laravel;Vue.js,Laravel,Cordova;Electron,Electron;NumPy;Pandas,Homebrew;npm;Yarn,Docker;Homebrew;npm;Yarn,PhpStorm;PyCharm,PhpStorm;PyCharm;Xcode,Linux-based;macOS,Linux-based;macOS,Git,Code editor;Command-line;Version control hosting service web GUI,,,Trello,Jira Work Management;Trello,Rocketchat;Slack;Zoom,Google Chat,Unfavorable,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"Yes, definitely",25-34 years old,Man,No,Straight / Heterosexual,Asian,,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Yes,Independent contributor,5.0,Strongly agree,Disagree,Strongly agree,Agree,Agree,Agree,Agree,1-2 times a week,3-5 times a week,Never,15-30 minutes a day,15-30 minutes a day,Somewhat long,DevOps function;Continuous integration (CI) and (more often) continuous delivery;Automated testing,No,Yes,Yes,Appropriate in length,Neither easy nor difficult,13104.0
17373,17374,I code primarily as a hobby,"Independent contractor, freelancer, or self-employed",Fully remote,Hobby,Primary/elementary school,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification",Technical documentation;Blogs;Stack Overflow;Online forum;How-to videos,Udemy,2,,"Developer, front-end;Student",,,Start a free trial;Ask developers I know/work with,Indonesia,,,,JavaScript;TypeScript,Python;Ruby;Solidity,MongoDB,MongoDB;Firebase Realtime Database,Firebase,Google Cloud,Express;Next.js;React.js,Django;Next.js;Ruby on Rails,React Native,Flutter;TensorFlow,npm;Yarn,Docker;npm;Yarn,Visual Studio Code,Visual Studio Code,Windows Subsystem for Linux (WSL),Windows Subsystem for Linux (WSL),Git,Code editor;Dedicated version control GUI application,,,,,,,Favorable,Stack Overflow,Multiple times per day,Yes,A few times per month or weekly,"Yes, definitely",18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
17475,17476,I code primarily as a hobby,"Student, full-time",,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);Online Courses or Certification;Colleague","Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Online forum;How-to videos;Interactive tutorial;Coding sessions (live or recorded)",Udemy;edX,3,,,,,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,Indonesia,,,,Bash/Shell;C;C#;C++;Clojure;Dart;Go;HTML/CSS;Java;JavaScript;Julia;Kotlin;Lua;PHP;Python;Ruby;Rust;SQL;TypeScript,Bash/Shell;C#;C++;Clojure;Dart;Go;HTML/CSS;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,Cloud Firestore;MariaDB;MongoDB;MySQL;PostgreSQL;Firebase Realtime Database;Redis;SQLite,Cloud Firestore;MariaDB;MongoDB;MySQL;PostgreSQL;Firebase Realtime Database;Redis;SQLite,Firebase;Heroku,Firebase,ASP.NET Core ;Deno;Express;Fastify;Laravel;Next.js;Node.js;React.js;Svelte;Vue.js,ASP.NET Core ;Blazor;Fastify;Laravel;Next.js;Node.js;React.js;Svelte;Vue.js,.NET;Flutter;NumPy,.NET;Flutter;NumPy,Docker;npm;Yarn,Docker;npm,Atom;Emacs;IntelliJ;Nano;NetBeans;Neovim;PhpStorm;Sublime Text;Vim;Visual Studio Code,IntelliJ;Neovim;Rider;Visual Studio;Visual Studio Code;Webstorm,Linux-based,Linux-based,Git,Code editor;Command-line;Version control hosting service web GUI,,,Notion;Trello,Notion,,,Favorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Not sure,18-24 years old,Man,No,Straight / Heterosexual,Asian;Southeast Asian,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
17657,17658,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Colleague",Technical documentation;Blogs;Stack Overflow;Online books;Online forum,,9,5,"Engineer, data",500 to 999 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,Indonesia,IDR	Indonesian rupiah,32000000.0,Monthly,Go;Java;Python;SQL,Go;Java;Python;Scala;SQL,MariaDB;MongoDB;MySQL;PostgreSQL;Redis,Cassandra;Elasticsearch;MariaDB;MongoDB;PostgreSQL;Redis,Google Cloud,AWS;Google Cloud,,,Apache Kafka;Apache Spark,Apache Kafka;Apache Spark,Docker,Ansible;Docker;Kubernetes;Terraform,IntelliJ;PyCharm;Sublime Text;Vim,IntelliJ;PyCharm;Sublime Text;Vim,Linux-based,Linux-based;Windows,Git,Code editor;Command-line;Version control hosting service web GUI;Dedicated version control GUI application,,,Asana;Confluence;Jira Work Management,Confluence;Jira Work Management,Slack;Zoom,Slack,Unsure,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Yes,Independent contributor,5.0,Strongly agree,Agree,Disagree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,1-2 times a week,1-2 times a week,1-2 times a week,15-30 minutes a day,15-30 minutes a day,Just right,DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery,No,No,Yes,Appropriate in length,Easy,26220.0
17726,17727,I code primarily as a hobby,"Student, full-time",,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Blogs;Stack Overflow,,6,,,,,Visit developer communities like Stack Overflow,Indonesia,,,,HTML/CSS;JavaScript;PHP;SQL,C;Go;HTML/CSS;JavaScript;PHP;SQL,MariaDB;MongoDB,MariaDB;MongoDB,Firebase,AWS;Google Cloud,Laravel;Next.js;Node.js;React.js,Laravel;Node.js;React.js,React Native,React Native,Yarn,Yarn,Sublime Text,Sublime Text;Visual Studio Code;Xcode,Linux-based,Windows,Git,Command-line,,,,,Zoom,Zoom,Favorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
17995,17996,I am learning to code,"Student, full-time",,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Technical documentation;Blogs;Stack Overflow;Online books;How-to videos,,5,,,,,Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,Indonesia,,,,Assembly;Java;Python,Bash/Shell;C;C#;C++;Go;Java;PowerShell;Python,,,DigitalOcean,AWS;Microsoft Azure,,,NumPy;Pandas,Electron;Flutter;Hadoop;NumPy;Pandas,,,IntelliJ;IPython/Jupyter;Notepad++;Visual Studio Code,Visual Studio Code,Windows,Windows,Git,Code editor;Command-line,,,Notion,Jira Work Management;Notion,Microsoft Teams;Zoom,Zoom,Unfavorable,Stack Overflow;Stack Exchange,A few times per week,No,,"No, not at all",18-24 years old,Man,No,Straight / Heterosexual,Asian;Southeast Asian,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,,Neither easy nor difficult,
18203,18204,I am a developer by profession,"Not employed, but looking for work;Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Hobby;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Colleague",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online forum;How-to videos;Written-based Online Courses;Coding sessions (live or recorded),,24,,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;Database administrator;Developer, embedded applications or devices;Project manager;Data or business analyst;System administrator;Marketing or sales professional",,,Visit developer communities like Stack Overflow;Ask developers I know/work with;Research companies that have advertised on sites I visit,Indonesia,,,,Delphi;SQL,Delphi;SQL,MariaDB;MySQL;SQLite,MariaDB;MySQL;SQLite,,,,,,,,,Visual Studio Code,Visual Studio Code,Windows;Windows Subsystem for Linux (WSL),Windows;Windows Subsystem for Linux (WSL),Git,Command-line;Dedicated version control GUI application,,,,,Zoom,Zoom,Very favorable,Stack Overflow,A few times per month or weekly,Not sure/can't remember,,"Yes, somewhat",45-54 years old,Man,No,Straight / Heterosexual,Asian;East Asian;Southeast Asian,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Too long,Easy,
18435,18436,I code primarily as a hobby,I prefer not to say,,,Something else,Other (please specify):,,,2,,,,,Other (please specify):,Indonesia,,,,JavaScript,,Microsoft SQL Server;MySQL;PostgreSQL;SQLite,,Firebase,,FastAPI;Node.js,,,,,,,,,,Git,Code editor,,,,,Google Chat,,Unsure,Stack Exchange,Multiple times per day,Yes,Multiple times per day,Not sure,35-44 years old,Man,"Or, in your own words:",Prefer to self-describe:,"Or, in your own words:","Or, in your own words:",,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,
18549,18550,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);Online Courses or Certification","Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Online forum;How-to videos;Written-based Online Courses;Coding sessions (live or recorded)",Coursera;Udemy;Codecademy;Udacity;Other,8,6,"Engineer, site reliability;Developer, full-stack;Developer, back-end",500 to 999 employees,I have some influence,Visit developer communities like Stack Overflow;Ask developers I know/work with;Research companies that have advertised on sites I visit,Indonesia,IDR	Indonesian rupiah,8000000.0,Monthly,Bash/Shell;Go;Java;JavaScript;Julia;Kotlin;PHP;Python;R;SQL;Swift;VBA,Bash/Shell;Delphi;Go;JavaScript;PHP;Python;R;Rust;SQL;TypeScript,Cassandra;DynamoDB;Elasticsearch;IBM DB2;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Firebase Realtime Database;Redis;SQLite,DynamoDB;Elasticsearch;MariaDB;MongoDB;MySQL;Neo4j;Oracle;PostgreSQL;Firebase Realtime Database;Redis;SQLite,AWS;Colocation;DigitalOcean;Firebase;Google Cloud;Heroku;Managed Hosting;Microsoft Azure;Oracle Cloud Infrastructure;OpenStack,AWS;Colocation;Firebase;Google Cloud;Oracle Cloud Infrastructure,Django;Express;Flask;jQuery;Laravel;Next.js;Node.js;React.js;Ruby on Rails,Flask;jQuery;Laravel;Next.js;Node.js;React.js;Vue.js,Apache Spark;Hadoop;NumPy;Pandas;React Native;Scikit-learn;Spring,Apache Kafka;Apache Spark;Electron;GTK;Hadoop;NumPy;Pandas;React Native;Scikit-learn,Docker;Homebrew;npm,Docker;Homebrew;Kubernetes;npm,"Android Studio;Atom;CLion;Eclipse;GoLand;IntelliJ;IPython/Jupyter;Nano;NetBeans;Neovim;Notepad++;PhpStorm;PyCharm;RAD Studio (Delphi, C++ Builder);RStudio;Sublime Text;TextMate;Vim;Visual Studio;Visual Studio Code;Webstorm;Xcode",IPython/Jupyter;Vim;Visual Studio Code,macOS;Windows;Windows Subsystem for Linux (WSL),Linux-based;macOS;Windows;Windows Subsystem for Linux (WSL),Git,Code editor;Command-line;Version control hosting service web GUI,,,Asana;Jira Work Management;Notion;Trello,Jira Work Management;Notion,Google Chat;Microsoft Teams;Slack;Zoom,Google Chat;Slack;Zoom,Unfavorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Yes,Independent contributor,8.0,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,1-2 times a week,1-2 times a week,1-2 times a week,15-30 minutes a day,15-30 minutes a day,Just right,Innersource initiative;DevOps function;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Automated testing,Yes,Yes,Yes,Appropriate in length,Easy,6552.0
