,Respondent,Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,YearsCodingProf,JobSatisfaction,CareerSatisfaction,HopeFiveYears,JobSearchStatus,LastNewJob,AssessJob1,AssessJob2,AssessJob3,AssessJob4,AssessJob5,AssessJob6,AssessJob7,AssessJob8,AssessJob9,AssessJob10,AssessBenefits1,AssessBenefits2,AssessBenefits3,AssessBenefits4,AssessBenefits5,AssessBenefits6,AssessBenefits7,AssessBenefits8,AssessBenefits9,AssessBenefits10,AssessBenefits11,JobContactPriorities1,JobContactPriorities2,JobContactPriorities3,JobContactPriorities4,JobContactPriorities5,JobEmailPriorities1,JobEmailPriorities2,JobEmailPriorities3,JobEmailPriorities4,JobEmailPriorities5,JobEmailPriorities6,JobEmailPriorities7,UpdateCV,Currency,Salary,SalaryType,ConvertedSalary,CurrencySymbol,CommunicationTools,TimeFullyProductive,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,HackathonReasons,AgreeDisagree1,AgreeDisagree2,AgreeDisagree3,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,FrameworkWorkedWith,FrameworkDesireNextYear,IDE,OperatingSystem,NumberMonitors,Methodology,VersionControl,CheckInCode,AdBlocker,AdBlockerDisable,AdBlockerReasons,AdsAgreeDisagree1,AdsAgreeDisagree2,AdsAgreeDisagree3,AdsActions,AdsPriorities1,AdsPriorities2,AdsPriorities3,AdsPriorities4,AdsPriorities5,AdsPriorities6,AdsPriorities7,AIDangerous,AIInteresting,AIResponsible,AIFuture,EthicsChoice,EthicsReport,EthicsResponsible,EthicalImplications,StackOverflowRecommend,StackOverflowVisit,StackOverflowHasAccount,StackOverflowParticipate,StackOverflowJobs,StackOverflowDevStory,StackOverflowJobsRecommend,StackOverflowConsiderMember,HypotheticalTools1,HypotheticalTools2,HypotheticalTools3,HypotheticalTools4,HypotheticalTools5,WakeTime,HoursComputer,HoursOutside,SkipMeals,ErgonomicDevices,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Age,Dependents,MilitaryUS,SurveyTooLong,SurveyEasy
26632,37842,No,No,Indonesia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",100 to 499 employees,Back-end developer;Data or business analyst;Front-end developer;Full-stack developer,6-8 years,3-5 years,Moderately satisfied,Neither satisfied nor dissatisfied,Working as a founder or co-founder of my own company,I am not interested in new job opportunities,Less than a year ago,2.0,1.0,8.0,5.0,4.0,3.0,10.0,6.0,7.0,9.0,1.0,8.0,3.0,2.0,11.0,5.0,10.0,6.0,7.0,9.0,4.0,,,,,,,,,,,,,I had a negative experience or interaction at work,,,Yearly,,IDR,"Google Hangouts/Chat;Other chat system (IRC, proprietary software, etc.)",One to three months,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course","Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Pre-scheduled tutoring or mentoring sessions with a friend or colleague;Tapping your network of friends, family, and peers versed in the technology",,,Agree,Strongly disagree,Strongly disagree,JavaScript;PHP;SQL;HTML;CSS,JavaScript;PHP;SQL;HTML;CSS,SQL Server;MySQL,MongoDB;SQL Server;MySQL;MariaDB,Linux;WordPress,Linux;WordPress,.NET Core,.NET Core;Node.js,Notepad++;Sublime Text,Linux-based,1,,Git;Subversion,Multiple times per day,I'm not sure/I don't know,,,Somewhat agree,Somewhat agree,Somewhat disagree,Clicked on an online advertisement;Stopped going to a website because of their advertising,3.0,5.0,1.0,6.0,4.0,7.0,2.0,,Increasing automation of jobs,Nobody,I'm excited about the possibilities more than worried about the dangers.,No,Depends on what it is,The developer who wrote it,Yes,10 (Very Likely),Multiple times per day,Yes,Less than once per month or monthly,Yes,"No, and I don't know what that is",3,No,Not at all interested,A little bit interested,A little bit interested,Very interested,Very interested,Between 5:00 - 6:00 AM,9 - 12 hours,Over 4 hours,Never,Standing desk;Ergonomic keyboard or mouse,1 - 2 times per week,Female,Straight or heterosexual,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",South Asian,25 - 34 years old,No,,The survey was too long,Neither easy nor difficult
26636,37847,Yes,No,Indonesia,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",Fewer than 10 employees,Back-end developer;Data or business analyst;Front-end developer;Full-stack developer;Product manager,12-14 years,9-11 years,Slightly dissatisfied,Slightly dissatisfied,Working in a different or more specialized technical role than the one I'm in now,I am actively looking for a job,Between 2 and 4 years ago,5.0,4.0,10.0,7.0,3.0,2.0,8.0,1.0,9.0,6.0,1.0,2.0,3.0,10.0,11.0,9.0,7.0,6.0,8.0,5.0,4.0,3.0,1.0,2.0,5.0,4.0,5.0,2.0,6.0,3.0,1.0,7.0,4.0,I received bad news about the future of my company or department,U.S. dollars ($),5000,Monthly,60000.0,USD,"Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.);Other wiki tool (Github, Google Sites, proprietary software, etc.)",Less than a month,"Taken a part-time in-person course in programming or software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)","The official documentation and/or standards for the technology;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Internal Wikis, chat rooms, or documentation set up by my company for employees",,Because I find it enjoyable,Disagree,Disagree,Strongly disagree,Go;Java;JavaScript;Perl;PHP;Python;Scala;SQL;HTML;CSS;Bash/Shell,Go;Java;Python;Scala;SQL;Bash/Shell,Cassandra;MySQL;PostgreSQL;Elasticsearch,Cassandra;Redis;MySQL;PostgreSQL;Apache HBase;Apache Hive;Memcached;Elasticsearch,Android;Google Cloud Platform/App Engine;Heroku;Linux,Android;AWS;Linux,Angular;Hadoop;Spark;Spring,Angular;Hadoop;React;Spark;Spring,Android Studio;Eclipse;IntelliJ;Visual Studio Code,MacOS,2,Agile;Scrum,Git;Subversion,Multiple times per day,Yes,Yes,The website I was visiting forced me to disable it to access their content,Somewhat agree,Strongly agree,Neither agree nor disagree,Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising,1.0,5.0,2.0,6.0,4.0,3.0,7.0,Algorithms making important decisions,Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,Yes,No,The person who came up with the idea,No,10 (Very Likely),Daily or almost daily,Yes,A few times per week,Yes,"No, and I don't know what that is",10 (Very Likely),Yes,A little bit interested,Not at all interested,Not at all interested,Extremely interested,Extremely interested,Between 7:01 - 8:00 AM,9 - 12 hours,1 - 2 hours,Never,Ergonomic keyboard or mouse,I don't typically exercise,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",East Asian,25 - 34 years old,Yes,,The survey was too long,Somewhat easy
27285,38776,Yes,No,Indonesia,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Database administrator;Desktop or enterprise applications developer,6-8 years,3-5 years,Extremely satisfied,Moderately dissatisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,5.0,7.0,10.0,3.0,2.0,4.0,8.0,1.0,9.0,6.0,1.0,9.0,2.0,7.0,11.0,5.0,10.0,6.0,3.0,8.0,4.0,2.0,1.0,5.0,4.0,3.0,1.0,3.0,7.0,2.0,4.0,5.0,6.0,My job status or other personal status changed,,"7000000,00",,52211.0,IDR,Jira;Slack,,"Taken a part-time in-person course in programming or software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;Pre-scheduled tutoring or mentoring sessions with a friend or colleague;Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system",,,Disagree,Agree,Neither Agree nor Disagree,SQL;VBA;VB.NET,Go;JavaScript;Objective-C;Python;R;Ruby;Swift;Kotlin,SQL Server;MySQL;MariaDB,"MongoDB;Apache HBase;Apache Hive;Google BigQuery;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage",Android;Windows Desktop or Server,Android;Arduino;AWS;Azure;Google Home;Heroku;iOS;Linux;Serverless;Firebase,Node.js;React,Angular;.NET Core;Django;Hadoop;Node.js;React;Spark;Xamarin;Spring;Torch/PyTorch,Android Studio;NetBeans;Notepad++;Visual Studio;Visual Studio Code,Windows,2,Extreme programming (XP);Formal standard such as ISO 9001 or IEEE 12207 (aka “waterfall” methodologies);Kanban,Copying and pasting files to network shares;I don't use version control,,No,,,Strongly agree,Neither agree nor disagree,Somewhat disagree,Clicked on an online advertisement,4.0,3.0,1.0,5.0,6.0,2.0,7.0,Increasing automation of jobs,Algorithms making important decisions,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,"Yes, but only within the company",The person who came up with the idea,Yes,10 (Very Likely),Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"No, I didn't know that Stack Overflow had a jobs board","No, and I don't know what that is",,I'm not sure,Very interested,Very interested,Very interested,Somewhat interested,Extremely interested,Before 5:00 AM,5 - 8 hours,3 - 4 hours,Never,Ergonomic keyboard or mouse,3 - 4 times per week,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",South Asian,25 - 34 years old,No,,The survey was an appropriate length,Somewhat easy
27428,38981,Yes,No,Indonesia,No,Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,10 to 19 employees,Back-end developer;Front-end developer;Full-stack developer,3-5 years,3-5 years,Extremely dissatisfied,Slightly satisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,5.0,2.0,6.0,3.0,7.0,8.0,9.0,4.0,10.0,1.0,2.0,1.0,5.0,3.0,8.0,9.0,6.0,4.0,7.0,10.0,11.0,2.0,1.0,4.0,3.0,5.0,5.0,6.0,7.0,2.0,1.0,3.0,4.0,A recruiter contacted me,U.S. dollars ($),,Monthly,,USD,Facebook;Slack;Trello,Less than a month,Received on-the-job training in software development,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,CoffeeScript;JavaScript;Ruby;SQL;HTML;CSS,Go;Rust;Swift;TypeScript,Redis;MySQL;PostgreSQL;Elasticsearch,MongoDB;Redis;MySQL;PostgreSQL;Elasticsearch,AWS;Heroku;Linux;Mac OS;Firebase,Android;Apple Watch or Apple TV;AWS;Heroku;iOS;Linux;Mac OS;Firebase,Angular;Node.js;React,Node.js;React,Android Studio;Vim;Visual Studio Code,Linux-based,1,,Git,Multiple times per day,Yes,Yes,The website I was visiting forced me to disable it to access their content;The ad-blocking software was causing display issues on a website;The website I was visiting asked me to disable it;I wanted to support the website I was visiting by viewing their ads,Somewhat agree,Strongly agree,Neither agree nor disagree,Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad),,,,,,,,Increasing automation of jobs,Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,Yes,Depends on what it is,Upper management at the company/organization,Yes,10 (Very Likely),A few times per week,Yes,Less than once per month or monthly,Yes,"No, and I don't know what that is",10 (Very Likely),Yes,Not at all interested,Somewhat interested,A little bit interested,Somewhat interested,Very interested,Between 6:01 - 7:00 AM,Over 12 hours,1 - 2 hours,Never,,I don't typically exercise,Male,Straight or heterosexual,,,18 - 24 years old,No,,The survey was an appropriate length,Somewhat easy
27507,39083,Yes,No,Indonesia,"Yes, part-time",Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,Fewer than 10 employees,Back-end developer;Data or business analyst,3-5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Go;Java;JavaScript;PHP;SQL;HTML;CSS,C;C++;C#;Go;Java;JavaScript;PHP;Python;Ruby;Scala;SQL;Kotlin,MySQL,"MongoDB;MySQL;PostgreSQL;SQLite;Amazon DynamoDB;Apache HBase;Apache Hive;Memcached;Amazon Redshift;Amazon RDS/Aurora;Google BigQuery;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage;Neo4j;Elasticsearch",Linux;Windows Desktop or Server,AWS;Azure;Google Cloud Platform/App Engine;Heroku;Linux,,Angular;Hadoop;Node.js;React,Atom;Sublime Text;Visual Studio Code,Windows,2,,Git,Never,No,,,Somewhat agree,Strongly agree,Somewhat agree,,,,,,,,,,,,,,,,,10 (Very Likely),Daily or almost daily,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,Yes,Extremely interested,Extremely interested,Somewhat interested,Somewhat interested,Very interested,Between 7:01 - 8:00 AM,5 - 8 hours,Over 4 hours,Daily or almost every day,Standing desk;Fatigue-relieving floor mat;Ergonomic keyboard or mouse;Wrist/hand supports or braces,I don't typically exercise,,,,,,,,,
27657,39298,No,No,Indonesia,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,System administrator,3-5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C;Delphi/Object Pascal,VBA,MySQL,MySQL,WordPress;Firebase,,,,Android Studio,Windows,More than 4,,I don't use version control,,Yes,Yes,I wanted to support the website I was visiting by viewing their ads,Somewhat agree,Strongly agree,Somewhat agree,Stopped going to a website because of their advertising,7.0,6.0,5.0,2.0,4.0,3.0,1.0,Algorithms making important decisions,Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27665,39309,Yes,Yes,Indonesia,,Employed full-time,Associate degree,"Computer science, computer engineering, or software engineering",20 to 99 employees,"C-suite executive (CEO, CTO, etc.);Data or business analyst;Product manager;QA or test developer",6-8 years,3-5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27667,39311,Yes,No,Indonesia,"Yes, full-time",Employed part-time,Primary/elementary school,,Fewer than 10 employees,Back-end developer;Database administrator;Full-stack developer;Mobile developer;Student,6-8 years,0-2 years,,Moderately satisfied,,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Participated in a hackathon,,,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To improve my ability to work on a team with other programmers;To build my professional network;To help me find new job opportunities;To win prizes or cash awards;Because I find it enjoyable",,,,Java;PHP;SQL;HTML;CSS,Java;PHP;SQL;HTML;CSS,MySQL;MariaDB,MySQL;MariaDB,Android;Firebase,Android;Firebase,,,Android Studio;Visual Studio Code,Linux-based,1,,Zip file back-ups,Once a day,I'm not sure/I don't know,,,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,,,,,,,,10 (Very Likely),A few times per week,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,Yes,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Before 5:00 AM,9 - 12 hours,Over 4 hours,Daily or almost every day,Standing desk,I don't typically exercise,,,,,,,,The survey was too long,Somewhat difficult
27695,39350,Yes,No,Indonesia,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Data or business analyst;Full-stack developer;Product manager,6-8 years,3-5 years,Slightly satisfied,Slightly satisfied,Working as a product manager or project manager,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,8.0,5.0,7.0,2.0,3.0,4.0,6.0,9.0,10.0,1.0,1.0,5.0,2.0,3.0,7.0,11.0,4.0,8.0,6.0,9.0,10.0,4.0,1.0,5.0,3.0,2.0,,,,,,,,My job status or other personal status changed,U.S. dollars ($),,Monthly,,USD,Jira,One to three months,"Taken an online course in programming or software development (e.g. a MOOC);Taken a part-time in-person course in programming or software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher",,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To improve my ability to work on a team with other programmers;Because I find it enjoyable",Agree,Agree,Disagree,JavaScript;PHP;Python;Ruby;SQL;Swift;HTML;CSS;Bash/Shell,Python;Swift;Bash/Shell,MySQL;Neo4j,MySQL;PostgreSQL;Amazon Redshift;Amazon RDS/Aurora;Google BigQuery;Elasticsearch,Android;iOS;Linux;Mac OS;Firebase,iOS;Mac OS;Firebase,TensorFlow,TensorFlow,IPython / Jupyter;Sublime Text;Xcode,MacOS,1,Agile;Kanban;Scrum,Git,Multiple times per day,No,,,Strongly agree,Somewhat agree,Somewhat agree,Saw an online advertisement and then researched it (without clicking on the ad),1.0,6.0,3.0,5.0,2.0,4.0,7.0,"Artificial intelligence surpassing human intelligence (""the singularity"")",Increasing automation of jobs,Prominent industry leaders,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",Upper management at the company/organization,Yes,10 (Very Likely),Daily or almost daily,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,Yes,Very interested,Extremely interested,Extremely interested,A little bit interested,Somewhat interested,Between 6:01 - 7:00 AM,9 - 12 hours,3 - 4 hours,Never,Ergonomic keyboard or mouse,1 - 2 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",East Asian,25 - 34 years old,No,,The survey was too long,Very easy
27817,39508,No,No,Indonesia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer,3-5 years,0-2 years,Moderately dissatisfied,Extremely dissatisfied,Working in a different or more specialized technical role than the one I'm in now,I am not interested in new job opportunities,Less than a year ago,8.0,7.0,9.0,2.0,3.0,5.0,1.0,4.0,10.0,6.0,1.0,2.0,4.0,5.0,9.0,3.0,8.0,7.0,6.0,10.0,11.0,,,,,,,,,,,,,I saw an employer’s advertisement,U.S. dollars ($),3800,Monthly,45600.0,USD,Confluence;Google Hangouts/Chat;Jira;Slack,Less than a month,"Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",,,Neither Agree nor Disagree,Strongly disagree,Neither Agree nor Disagree,JavaScript;Python;HTML;CSS;Bash/Shell,JavaScript;Python;HTML;CSS;Bash/Shell,Redis;MySQL;PostgreSQL;SQLite;Google Cloud Storage;Elasticsearch,Redis;PostgreSQL;SQLite;Google Cloud Storage;Elasticsearch,AWS;Google Cloud Platform/App Engine,AWS;Google Cloud Platform/App Engine,Django,Django,PyCharm,Linux-based,3,Agile,Git,Multiple times per day,Yes,Yes,The ad-blocking software was causing display issues on a website;The website I was visiting asked me to disable it;I wanted to support the website I was visiting by viewing their ads,Neither agree nor disagree,Somewhat disagree,Strongly agree,,4.0,1.0,5.0,7.0,3.0,6.0,2.0,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Algorithms making important decisions,A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,No,Depends on what it is,Upper management at the company/organization,Yes,10 (Very Likely),Multiple times per day,Yes,Less than once per month or monthly,Yes,"No, I know what it is but I don't have one",5,Yes,Not at all interested,A little bit interested,Very interested,Very interested,Somewhat interested,Between 8:01 - 9:00 AM,9 - 12 hours,Less than 30 minutes,Never,Ergonomic keyboard or mouse,1 - 2 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",,18 - 24 years old,No,,The survey was an appropriate length,Very easy
27843,39546,Yes,No,Indonesia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Front-end developer;Full-stack developer,3-5 years,3-5 years,Moderately satisfied,Neither satisfied nor dissatisfied,Working as a founder or co-founder of my own company,I am not interested in new job opportunities,,3.0,8.0,5.0,2.0,1.0,4.0,9.0,6.0,7.0,10.0,1.0,10.0,9.0,5.0,4.0,8.0,3.0,2.0,11.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 (Very Likely),Multiple times per day,Yes,Daily or almost daily,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,No,A little bit interested,Somewhat interested,Very interested,A little bit interested,A little bit interested,Between 9:01 - 10:00 AM,9 - 12 hours,3 - 4 hours,Never,,Daily or almost every day,,,,,,,,,
28374,40301,Yes,Yes,Indonesia,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A business discipline (ex. accounting, finance, marketing)",Fewer than 10 employees,"Back-end developer;C-suite executive (CEO, CTO, etc.);Data or business analyst;Data scientist or machine learning specialist;Database administrator;Desktop or enterprise applications developer;DevOps specialist;Front-end developer;Full-stack developer;Marketing or sales professional;Mobile developer;Product manager;QA or test developer;System administrator",9-11 years,9-11 years,Slightly dissatisfied,Slightly dissatisfied,Working as a founder or co-founder of my own company,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28491,40462,Yes,No,Indonesia,"Yes, full-time",Employed part-time,Associate degree,"Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Designer;Full-stack developer;Student,0-2 years,0-2 years,Slightly satisfied,Neither satisfied nor dissatisfied,Working as a product manager or project manager,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,10.0,4.0,9.0,5.0,2.0,3.0,6.0,1.0,7.0,8.0,,,,,,,,,,,,3.0,2.0,5.0,1.0,4.0,3.0,2.0,1.0,7.0,4.0,6.0,5.0,A friend told me about a job opportunity,,,Monthly,,IDR,"Facebook;Office / productivity suite (Microsoft Office, Google Suite, etc.);Trello;Other chat system (IRC, proprietary software, etc.)",,"Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Tapping your network of friends, family, and peers versed in the technology",Less than a month,,Agree,Agree,Neither Agree nor Disagree,C;C++;Java;JavaScript;PHP;SQL;HTML;CSS,C;C++;C#;Java;JavaScript;PHP;SQL,MySQL,"MongoDB;SQL Server;MySQL;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage;Neo4j",,Android;Azure;Google Cloud Platform/App Engine;Heroku;Firebase,,.NET Core;Xamarin,NetBeans;Notepad++;Visual Studio,Windows,More than 4,Agile,Git;Copying and pasting files to network shares,Multiple times per day,I'm not sure/I don't know,,,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Stopped going to a website because of their advertising,5.0,6.0,4.0,3.0,2.0,1.0,7.0,"Artificial intelligence surpassing human intelligence (""the singularity"")",Algorithms making important decisions,A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,Depends on what it is,The person who came up with the idea,Yes,7,A few times per month or weekly,I'm not sure / I can't remember,,"No, I didn't know that Stack Overflow had a jobs board",,,I'm not sure,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Between 5:00 - 6:00 AM,9 - 12 hours,3 - 4 hours,1 - 2 times per week,,I don't typically exercise,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",,18 - 24 years old,No,,The survey was too long,Neither easy nor difficult
28551,40541,Yes,No,Indonesia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",Fewer than 10 employees,Back-end developer;Database administrator;Engineering manager;Front-end developer;Full-stack developer;Game or graphics developer;Mobile developer,6-8 years,0-2 years,Moderately satisfied,Neither satisfied nor dissatisfied,Working as a founder or co-founder of my own company,I am actively looking for a job,Less than a year ago,2.0,6.0,8.0,7.0,1.0,5.0,10.0,9.0,4.0,3.0,1.0,10.0,2.0,11.0,7.0,6.0,8.0,4.0,3.0,9.0,5.0,2.0,1.0,5.0,3.0,4.0,7.0,4.0,3.0,6.0,2.0,5.0,1.0,A friend told me about a job opportunity,U.S. dollars ($),350,Monthly,4200.0,USD,"Trello;Other wiki tool (Github, Google Sites, proprietary software, etc.)",One to three months,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;The technology’s online help system",,,Agree,Agree,Agree,C#;Java;JavaScript;PHP;SQL;HTML;CSS,C#;Java;JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,SQL Server;MySQL;SQLite,SQLite;Oracle;Google Cloud Storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28869,41002,Yes,No,Indonesia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Engineering manager;Full-stack developer;Mobile developer,6-8 years,6-8 years,Slightly satisfied,Slightly satisfied,Working as a founder or co-founder of my own company,I am actively looking for a job,Between 1 and 2 years ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Go;Java;PHP;Python;SQL;HTML;CSS,C;C++;Ruby;Swift;Kotlin,MySQL;PostgreSQL,Cassandra;MongoDB;Redis;Neo4j;Elasticsearch,Android;Heroku;iOS;Linux;Mac OS;WordPress,Apple Watch or Apple TV;AWS;Google Cloud Platform/App Engine;Raspberry Pi;Firebase,Django;Hadoop;Node.js;Spring,React;TensorFlow,Android Studio;IntelliJ;Vim;Xcode,MacOS,1,Agile;Extreme programming (XP);Scrum,Git,Weekly or a few times per month,No,,,Strongly agree,Somewhat agree,Somewhat agree,Saw an online advertisement and then researched it (without clicking on the ad),3.0,5.0,2.0,6.0,1.0,7.0,4.0,,Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,Yes,"Yes, but only within the company",The developer who wrote it,No,10 (Very Likely),A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,Yes,"No, and I don't know what that is",7,No,A little bit interested,A little bit interested,Not at all interested,Somewhat interested,Somewhat interested,Between 7:01 - 8:00 AM,5 - 8 hours,3 - 4 hours,1 - 2 times per week,,1 - 2 times per week,,,,,,,,,
