Month,Java,JavaScript,PHP,Python,SQL,C++,C
2018-12,15.93,3.06,2.44,8.38,2.18,7.56,14.28
2019-01,16.9,3.3,2.68,8.29,2.28,8.16,13.34
2019-02,15.88,2.85,2.27,7.57,1.9,7.44,12.42
2019-03,14.88,2.43,2.42,8.26,1.93,8.13,13.31
2019-04,15.04,2.51,2.24,8.17,2.27,8.84,14.08
2019-05,16.0,2.69,2.49,7.83,2.56,8.1,14.24
2019-06,15.0,2.72,2.57,8.53,2.22,7.38,13.3
2019-07,15.06,2.3,2.17,9.26,1.98,6.7,14.21
2019-08,16.03,2.26,2.08,10.02,1.63,6.06,15.15
2019-09,16.66,2.13,1.86,9.87,1.94,5.64,15.21
2019-10,16.88,2.08,1.91,9.09,1.93,6.23,16.18
2019-11,16.25,1.93,1.72,9.84,1.69,5.6,16.04
2019-12,17.25,2.09,2.05,10.31,1.84,6.2,16.09
2020-01,16.9,2.45,2.41,9.7,1.5,5.57,15.77
2020-02,17.36,2.06,2.02,9.35,1.53,6.16,16.77
2020-03,17.78,2.05,2.02,10.11,1.83,6.79,16.33
2020-04,16.73,2.38,2.37,9.31,2.17,6.78,16.72
2020-05,16.28,2.68,2.49,9.12,2.09,6.13,17.07
2020-06,16.1,2.27,2.26,8.36,1.73,5.95,17.19
2020-07,15.1,2.48,1.9,9.09,1.4,6.21,16.45
2020-08,14.43,2.87,2.24,9.69,1.46,6.84,16.98
2020-09,13.48,2.54,2.49,10.47,1.76,7.11,15.95
2020-10,12.56,2.14,2.09,11.28,1.57,6.94,16.95
2020-11,11.68,2.03,1.79,12.12,1.54,7.6,16.21
2020-12,12.53,2.35,2.12,12.21,1.53,6.91,16.48
2021-01,11.96,2.2,1.99,11.72,1.61,7.56,17.38
2021-02,11.29,2.27,1.75,10.86,1.72,6.88,16.34
2021-03,10.45,2.11,2.07,10.31,1.87,6.52,15.33
2021-04,11.23,2.44,1.84,11.03,1.83,7.14,14.32
2021-05,11.74,2.45,1.86,11.87,1.71,7.81,13.38
2021-06,11.54,2.33,2.21,11.84,1.88,7.36,12.54
2021-07,11.2,2.71,2.58,10.96,1.53,8.02,11.63
2021-08,10.43,2.95,2.19,11.86,1.47,7.36,12.57
2021-09,11.12,2.55,1.85,11.67,1.8,7.13,11.83
2021-10,10.46,2.19,2.1,11.27,2.17,7.5,11.16
2021-11,10.72,2.66,1.81,11.77,2.11,8.28,10.72
2021-12,10.12,2.3,1.5,12.9,1.79,7.73,11.8
2022-01,10.66,2.09,1.4,13.58,1.8,8.29,12.44
2022-02,12.13,1.83,1.79,15.33,1.55,8.01,14.08
2022-03,11.19,2.09,1.92,14.26,1.85,8.66,13.06
2022-04,10.82,2.41,1.64,13.92,2.28,8.28,12.71
2022-05,10.99,2.12,1.52,12.74,1.87,8.83,11.59
2022-06,10.47,2.09,1.25,12.2,1.94,9.63,11.91
2022-07,11.59,1.78,1.2,13.44,1.64,10.0,13.13
2022-08,12.46,2.4,1.36,15.63,1.67,10.14,14.76
2022-09,11.72,2.82,1.68,15.74,2.01,9.76,13.96
2022-10,12.84,2.74,2.04,17.08,1.78,9.92,15.21
2022-11,11.98,3.19,1.69,17.18,1.82,10.75,15.08
2022-12,11.82,3.19,1.62,16.66,2.22,11.94,16.56
2023-01,12.21,2.87,1.39,16.36,2.5,12.91,16.26
2023-02,13.21,2.52,1.29,15.49,2.12,13.94,15.39
2023-03,13.56,2.17,1.61,14.83,1.95,13.29,14.73
2023-04,13.23,2.1,1.36,14.51,1.68,12.96,14.41
2023-05,12.22,2.44,1.59,13.45,1.48,11.96,13.35
2023-06,11.28,2.82,1.74,12.46,1.47,11.36,12.37
2023-07,10.5,3.11,1.41,13.42,1.48,10.8,11.56
2023-08,10.33,3.29,1.27,13.33,1.53,10.63,11.41
2023-09,9.49,3.3,1.55,14.16,1.44,10.65,11.27
2023-10,8.92,2.91,1.9,14.82,1.78,10.67,12.08
2023-11,8.35,3.21,2.3,14.16,1.88,10.36,11.77
2023-12,7.99,2.9,2.01,13.86,1.61,10.01,11.44
2024-01,7.87,2.77,1.79,13.97,1.46,9.96,11.44
2024-02,8.88,3.17,1.51,15.16,1.82,10.53,10.97
2024-03,8.95,3.38,1.32,15.63,1.92,10.7,11.17
2024-04,8.94,2.89,1.09,16.41,1.61,9.76,10.21
2024-05,8.69,3.01,0.97,16.33,1.44,9.53,9.98
2024-06,8.4,3.32,1.22,15.39,1.75,10.03,9.23
2024-07,8.59,3.79,1.15,16.12,2.04,10.34,9.48
2024-08,9.16,3.91,1.46,18.04,2.21,10.04,9.17
2024-09,9.45,3.92,1.46,20.17,1.94,10.75,8.89
2024-10,10.51,3.54,1.21,21.9,1.64,11.6,8.38
