Month,Java,JavaScript,PHP,Python,MySQL,SQL,C++,C,PostgreSQL
2023-02,2305,10299,1921,14954,1445,379,6231,1815,443
2023-03,2987,11293,3455,4573,1974,446,6435,1407,587
2023-04,1422,6389,1541,2593,1033,256,2989,2112,280
2023-05,2139,5574,2204,4144,2014,391,3443,6579,367
2023-06,2621,7240,2433,3092,1652,449,3089,6616,361
2023-07,2208,7095,1934,2400,1281,338,3126,3893,332
2023-08,2534,6363,1649,2078,1133,328,3611,2037,326
2023-09,2875,3188,1785,3436,1286,457,2695,1459,331
2023-10,3011,1861,1778,2138,1434,445,2562,1551,462
2023-11,2709,2581,1924,1993,1451,455,2215,1017,430
2023-12,3066,2357,1845,2700,1205,368,2037,892,316
2024-01,3277,1581,2799,2797,1414,339,1474,1009,298
2024-02,2342,1181,1769,2527,881,325,1392,753,247
2024-03,3236,1937,2675,3585,1609,917,2290,795,443
2024-04,2625,1794,2178,2163,807,649,1411,772,289
2024-05,2941,2697,2919,3686,1590,1279,2248,907,562
2024-06,2110,2508,2662,3691,1414,1238,1438,1000,379
2024-07,1936,2747,2745,3412,1094,1279,1306,1194,313
2024-08,1585,2385,1703,2306,872,854,1879,1089,289
2024-09,1843,2148,1765,2405,925,612,2131,1273,293
2024-10,1577,2134,1445,2736,985,708,2039,1252,277
