Month,Java,JavaScript,Dart,Node.js,PHP,Visual Basic,MySQL,TypeScript,SQL,PostgreSQL,Flow,CHAIN,Z++,FOCUS,Python,kernel,Address,ASP.NET,C#,JS++,C,GraphQL,Go,Ada,Ruby,MariaDB,Scheme,Expect,Copilot,Solidity,solid,pipelines,RAPID,NPL,april,flagship,Swift,Small,Kotlin,Simplicity,Perl,C++,Scratch,R,F,Rust,Groovy,Scala,Revolution,MATLAB,Apex,Click,Adept,.QL,dss,SPARK,Pure,GAP,Falcon,Alpha,Plot,Joy,CONVERT,Frank,P,lever,JADE,Blue,THINK C,Inform,NATURAL,Reason,ARM,SR,Crystal,PowerHouse,Conceptual,Factor,False,RPL,SQLite,fe,Chrome,Tao,Flavors,Cyber,Bash,DEMOS,Q,PROMETHEUS,Gist,PILOT,REDUCE,Monkey,Z,abs,FaCT,MACRO,FLUX,ECMAScript,Argus,Assembly,PowerShell,Visual FoxPro,FoxPRO,Delphi,SCM,Red,MetaL,SaltStack,bamboo,Mercury,UNITY,Arduino,SAS,SPSS,SIGNAL,Spatial,AL,jasper,PowerBuilder,SRL,Logos,Virgil,Dale,LUCID,CUDA,LINQ,JOVIAL,APL,BASIC A+,Cell,MIMIC,Charity,Meson,DYNAMO,Haskell,PLANNER,Gherkin,Objective-C,frame,Tea,Sqlalchemy,Erlang,Sage,Lisp,Lua,F#,bloom,score,HL7,VBA,ActionScript,Elixir,MAPPER,Boo,Pan,l2,Augment,FP,Vale,candor,Stata,Arc,DML,IPL,XL,Star,fox,LEAP,Dockerfile,Dc,VBScript,CORAL,UniVerse,C2
2016-05,71,13,0,2,41,74,84,1,65,8,0,0,0,0,18,42,0,22,83,0,39,0,68,0,2,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,57,3,46,0,0,0,6,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,35,13,17,8,0,0,0,0,0,0,0,35,65,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,22,0,0,0,15,0,11,23,0,0,0,0,93,21,0,0,0,0,0,0,0,0,0,21,0,72,0,0,0,0,0,0,0,30,0,0,0
2016-06,75,13,0,1,40,56,73,1,63,9,0,0,0,0,17,35,0,21,75,0,32,0,64,0,2,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,43,4,44,0,0,0,6,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,28,15,12,6,0,0,0,0,0,0,0,36,61,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,32,0,0,0,15,0,0,22,0,0,0,0,92,12,0,0,0,0,0,0,0,0,0,18,0,57,0,0,0,0,0,0,0,27,0,0,0
2016-07,63,9,0,1,31,36,40,1,41,7,0,0,0,0,17,35,0,16,48,0,34,0,65,0,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,3,43,0,0,0,5,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,19,11,13,5,0,0,0,0,0,0,0,26,45,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,16,0,0,0,11,0,8,14,0,0,0,0,70,9,0,0,0,0,0,0,0,0,0,12,0,73,0,0,0,0,0,0,0,22,0,0,0
2016-08,54,12,0,2,36,48,63,1,54,8,0,0,0,0,17,39,0,16,62,0,34,0,65,0,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,38,4,44,0,0,0,6,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,24,18,11,5,0,0,0,0,0,0,0,28,55,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,21,0,0,0,15,0,13,20,0,0,0,0,80,12,0,0,0,0,0,0,0,0,0,10,0,76,0,0,0,0,0,0,0,21,0,0,0
2016-09,54,12,0,1,37,54,63,1,56,9,0,0,0,0,20,42,0,18,68,0,40,0,63,0,2,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,57,4,40,0,0,0,5,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,35,12,13,5,0,0,0,0,0,0,0,31,59,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,18,0,0,8,17,0,9,18,0,0,0,0,76,9,0,0,0,0,0,0,0,0,0,14,0,82,0,0,0,0,0,8,0,30,0,0,0
2016-10,60,13,0,2,38,61,74,1,66,11,0,0,0,0,18,41,0,18,67,0,45,0,62,0,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,92,4,44,0,0,0,7,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,39,12,12,6,0,0,0,0,0,0,0,29,67,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,26,0,0,0,17,0,9,16,0,0,0,0,81,13,0,0,0,0,0,0,0,0,0,18,0,87,0,0,0,0,0,0,0,27,0,0,0
2016-11,56,13,0,2,41,88,86,1,74,12,0,0,0,0,23,43,0,20,75,0,41,0,63,2,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,69,8,45,0,0,1,6,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,63,16,37,2,0,0,0,0,0,0,0,29,74,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,6,20,0,12,10,0,0,0,0,91,18,0,0,0,0,0,0,0,0,0,18,0,90,0,0,0,0,0,5,0,43,0,0,0
2016-12,51,12,0,2,35,76,71,1,62,11,0,0,0,0,21,40,0,18,67,0,37,0,27,1,4,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,58,6,46,0,0,1,5,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,51,15,36,1,0,0,0,0,0,0,0,27,63,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,28,0,0,0,15,0,14,8,0,0,0,0,91,14,0,0,0,0,0,0,0,0,0,18,0,79,0,0,0,0,0,0,0,35,0,0,0
2017-01,48,13,0,2,37,76,75,1,65,11,0,0,0,0,23,43,0,19,66,0,36,0,50,0,4,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,49,7,46,0,0,1,4,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,44,14,31,4,0,0,0,0,0,0,0,28,65,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,32,0,0,9,16,0,9,10,0,0,0,0,86,14,0,0,0,0,0,0,0,0,0,15,0,86,0,0,0,0,0,5,0,46,0,0,0
2017-02,48,14,0,2,37,69,73,1,67,12,0,0,0,0,22,41,0,18,68,0,34,0,55,0,4,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,47,6,52,0,0,1,4,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,50,13,37,2,0,0,0,0,0,0,0,25,67,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,33,0,0,8,14,0,13,7,0,0,0,0,96,12,0,0,0,0,0,0,0,0,0,15,0,68,0,0,0,0,0,5,0,45,0,0,0
2017-03,47,12,0,2,35,72,74,1,68,11,0,0,0,0,23,41,0,19,69,0,35,0,50,0,4,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,61,6,46,0,0,1,4,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,51,15,22,4,0,0,0,0,0,0,0,27,68,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,21,0,0,8,18,0,14,8,0,0,0,0,87,14,0,0,0,0,0,0,0,0,0,15,0,78,0,0,0,0,0,0,0,36,0,0,0
2017-04,46,13,0,2,35,72,73,1,63,10,0,0,0,0,27,37,0,16,65,0,33,0,48,0,4,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,65,6,48,0,0,1,3,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,58,13,16,6,0,0,0,0,0,0,0,28,76,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,9,17,0,15,8,0,0,0,0,84,13,0,0,0,0,0,0,0,0,0,17,0,88,0,0,0,0,0,0,0,36,0,0,0
2017-05,46,13,0,2,37,74,74,1,63,10,0,0,0,0,24,36,0,17,73,0,29,0,47,1,4,49,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,51,7,46,0,0,1,3,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,56,22,16,6,0,0,0,0,0,0,0,27,73,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,34,0,0,7,14,0,10,8,0,0,0,0,72,17,0,0,0,0,0,0,0,0,0,20,0,74,0,0,0,0,0,0,0,37,0,0,0
2017-06,43,10,0,2,30,49,53,1,46,8,0,0,0,0,21,33,0,13,54,0,31,0,33,1,4,40,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,45,6,49,0,0,0,4,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,42,15,11,5,0,0,0,0,0,0,0,23,57,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,20,0,0,0,15,0,15,7,0,0,0,0,68,12,0,0,0,0,0,0,0,0,0,16,0,82,0,0,0,0,0,0,0,28,0,0,0
2017-07,42,12,0,2,30,50,57,2,49,10,0,0,0,0,21,32,0,16,54,0,29,1,41,1,4,45,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,30,7,49,0,0,1,4,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,16,11,4,0,0,0,0,0,0,0,25,60,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,34,0,0,7,14,0,7,9,0,0,0,0,68,7,0,0,0,0,0,0,0,0,0,14,0,66,0,0,0,0,0,7,0,27,0,0,0
2017-08,44,13,0,2,32,47,64,1,60,11,0,0,0,0,23,33,0,18,58,0,28,1,45,0,4,47,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,38,7,51,0,0,1,4,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,45,16,11,4,0,0,0,0,0,0,0,23,57,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,29,0,0,9,16,0,6,9,0,0,0,0,72,9,0,0,0,0,0,0,0,0,0,13,0,54,0,0,0,0,0,0,0,22,0,0,0
2017-09,44,12,0,2,32,51,59,1,55,11,0,0,0,0,27,38,0,17,61,0,34,0,44,0,4,52,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,54,8,48,0,0,1,4,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,50,15,11,4,0,0,0,0,0,0,0,24,59,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,26,0,0,7,15,0,18,8,0,0,0,0,76,10,0,0,0,0,0,0,0,0,0,18,0,68,0,0,0,0,0,6,0,31,0,0,0
2017-10,45,13,0,2,34,64,71,2,68,14,0,0,0,0,28,39,0,18,74,0,38,0,48,0,4,55,0,0,0,4,0,0,0,0,0,0,0,0,3,0,3,85,8,48,0,0,0,3,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,19,14,6,0,0,0,0,0,0,0,27,74,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,25,0,0,9,36,0,12,8,0,0,0,0,83,11,0,0,0,0,0,0,0,0,0,18,0,80,0,0,0,0,0,0,0,28,0,0,0
2017-11,45,14,0,2,35,61,79,3,73,13,0,0,0,0,28,39,0,19,66,0,35,0,35,0,5,64,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,75,8,52,0,0,1,4,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,18,17,6,0,0,0,0,0,0,0,26,74,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,31,0,0,5,25,0,14,7,0,0,0,0,82,12,0,0,0,0,0,0,0,0,0,22,0,84,0,0,0,0,0,5,0,30,0,0,0
2017-12,37,13,0,2,32,47,68,3,59,10,0,0,0,0,26,39,0,14,57,0,33,0,43,0,4,49,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,56,8,45,0,0,0,3,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,17,15,5,0,0,0,0,0,0,0,27,68,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,19,0,0,0,11,0,14,9,0,0,0,0,73,13,0,0,0,0,0,0,0,0,0,19,0,68,0,0,0,0,0,8,0,26,0,0,0
2018-01,39,12,0,2,32,52,68,2,60,12,0,0,0,0,24,43,0,15,58,0,24,1,45,0,4,61,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,43,8,45,0,0,1,4,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,19,13,5,0,0,0,0,0,0,0,25,74,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,25,0,0,8,9,0,16,13,0,0,0,0,79,12,0,0,0,0,0,0,0,0,0,14,0,61,0,0,0,0,0,8,0,35,0,0,0
2018-02,31,13,0,2,31,46,60,3,59,12,0,0,0,0,28,40,0,16,64,0,11,1,49,0,4,55,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,45,7,47,0,0,1,3,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,46,18,12,5,0,0,0,0,0,0,0,24,68,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,25,0,0,9,9,0,13,12,0,0,0,0,76,11,0,0,0,0,0,0,0,0,0,18,0,59,0,0,0,0,0,6,0,31,0,0,0
2018-03,26,13,0,2,30,60,64,3,69,12,0,0,0,0,28,43,0,15,64,0,14,1,46,0,3,59,0,0,0,4,0,0,0,0,0,0,0,0,4,0,2,50,6,43,0,0,1,4,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,57,19,13,5,0,0,0,0,0,0,0,26,70,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,22,0,0,10,6,0,14,17,0,0,0,0,79,8,0,0,0,0,0,0,0,0,0,19,0,73,0,0,0,0,0,6,0,31,0,0,0
2018-04,26,13,0,2,31,57,64,2,62,11,0,0,0,0,28,43,0,14,61,0,12,0,43,0,3,56,0,0,0,5,0,0,0,0,0,0,0,0,5,0,2,53,5,46,0,0,1,5,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,59,21,10,5,0,0,0,0,0,0,0,25,76,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,27,0,0,9,13,0,8,18,0,0,0,0,81,8,0,0,0,0,0,0,0,0,0,23,0,63,0,0,0,0,0,9,0,26,0,0,0
