Company Name,Job Description
JPMorganChase,"JOB DESCRIPTION

DESCRIPTION:
Duties: Participate in design and develop scalable and resilient systems. Contribute to continual, iterative improvements for product teams. Design, write, comment and unit test code to confirm high quality software modules. Build Microservices that will run on the bank’s internal cloud and the public cloud platform. Build UI. Write test cases and deploy. Collaborate with teams in multiple regions and time zones. Participate in scrum team stand-ups, and code reviews. Contribute to task completion and blocker resolution. Telecommuting permitted up to 40% of the week.

QUALIFICATIONS:
Minimum education and experience required: Bachelor's degree in Electrical and Electronic Engineering, Computer Science, Computer Engineering, Computer Information Systems, or related field of study plus 5 years of experience in the job offered or as Software Engineer, Java Developer, Full Stack Developer, Associate Consultant, or related occupation.
Skills Required: Requires experience in the following: Microservices; Apache Kafka; J2EE; Jenkins; Spring; Hibernate; Java; Typescript; Angular; REST; Maven; Cassandra; Splunk; GIT; Junit; Functional Testing.
Job Location: 8181 Communications Pkwy, Plano, TX 75024 . Telecommuting permitted up to 40% of the week.
ABOUT US

Chase is a leading financial services firm, helping nearly half of America’s households and small businesses achieve their financial goals through a broad range of financial products. Our mission is to create engaged, lifelong relationships and put our customers at the heart of everything we do. We also help small businesses, nonprofits and cities grow, delivering solutions to solve all their financial needs.
We offer a competitive total rewards package including base salary determined based on the role, experience, skill set, and location. Those in eligible roles may receive commission-based pay and/or discretionary incentive compensation awarded in recognition of individual achievements and contributions. We also offer a range of benefits and programs to meet employee needs, based on eligibility. These benefits include comprehensive health care coverage, on-site health and wellness centers, a retirement savings plan, backup childcare, tuition reimbursement, mental health support, financial coaching and more. Additional details about total compensation and benefits will be provided during the hiring process.
We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. We also make reasonable accommodations for applicants’ and employees’ religious practices and beliefs, as well as mental health or physical disability needs. Visit our FAQs for more information about requesting an accommodation.
Equal Opportunity Employer/Disability/Veterans



ABOUT THE TEAM

Our Consumer & Community Banking division serves our Chase customers through a range of financial services, including personal banking, credit cards, mortgages, auto financing, investment advice, small business loans and payment processing. We’re proud to lead the U.S. in credit card sales and deposit growth and have the most-used digital solutions – all while ranking first in customer satisfaction."
JPMorganChase,"JOB DESCRIPTION

DESCRIPTION:
Duties: Participate in design and develop scalable and resilient systems. Contribute to continual, iterative improvements for product teams. Design, write, comment and unit test code to confirm high quality software modules. Build Microservices that will run on the bank’s internal cloud and the public cloud platform. Build UI. Write test cases and deploy. Collaborate with teams in multiple regions and time zones. Participate in scrum team stand-ups, and code reviews. Contribute to task completion and blocker resolution. Telecommuting permitted up to 40% of the week.

QUALIFICATIONS:
Minimum education and experience required: Bachelor's degree in Electrical and Electronic Engineering, Computer Science, Computer Engineering, Computer Information Systems, or related field of study plus 5 years of experience in the job offered or as Software Engineer, Java Developer, Full Stack Developer, Associate Consultant, or related occupation.
Skills Required: Requires experience in the following: Microservices; Apache Kafka; J2EE; Jenkins; Spring; Hibernate; Java; Typescript; Angular; REST; Maven; Cassandra; Splunk; GIT; Junit; Functional Testing.
Job Location: 8181 Communications Pkwy, Plano, TX 75024 . Telecommuting permitted up to 40% of the week.
ABOUT US

Chase is a leading financial services firm, helping nearly half of America’s households and small businesses achieve their financial goals through a broad range of financial products. Our mission is to create engaged, lifelong relationships and put our customers at the heart of everything we do. We also help small businesses, nonprofits and cities grow, delivering solutions to solve all their financial needs.
We offer a competitive total rewards package including base salary determined based on the role, experience, skill set, and location. Those in eligible roles may receive commission-based pay and/or discretionary incentive compensation awarded in recognition of individual achievements and contributions. We also offer a range of benefits and programs to meet employee needs, based on eligibility. These benefits include comprehensive health care coverage, on-site health and wellness centers, a retirement savings plan, backup childcare, tuition reimbursement, mental health support, financial coaching and more. Additional details about total compensation and benefits will be provided during the hiring process.
We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. We also make reasonable accommodations for applicants’ and employees’ religious practices and beliefs, as well as mental health or physical disability needs. Visit our FAQs for more information about requesting an accommodation.
Equal Opportunity Employer/Disability/Veterans



ABOUT THE TEAM

Our Consumer & Community Banking division serves our Chase customers through a range of financial services, including personal banking, credit cards, mortgages, auto financing, investment advice, small business loans and payment processing. We’re proud to lead the U.S. in credit card sales and deposit growth and have the most-used digital solutions – all while ranking first in customer satisfaction."
JPMorganChase,"JOB DESCRIPTION

DESCRIPTION:
Duties: Participate in design and develop scalable and resilient systems. Contribute to continual, iterative improvements for product teams. Design, write, comment and unit test code to confirm high quality software modules. Build Microservices that will run on the bank’s internal cloud and the public cloud platform. Build UI. Write test cases and deploy. Collaborate with teams in multiple regions and time zones. Participate in scrum team stand-ups, and code reviews. Contribute to task completion and blocker resolution. Telecommuting permitted up to 40% of the week.

QUALIFICATIONS:
Minimum education and experience required: Bachelor's degree in Electrical and Electronic Engineering, Computer Science, Computer Engineering, Computer Information Systems, or related field of study plus 5 years of experience in the job offered or as Software Engineer, Java Developer, Full Stack Developer, Associate Consultant, or related occupation.
Skills Required: Requires experience in the following: Microservices; Apache Kafka; J2EE; Jenkins; Spring; Hibernate; Java; Typescript; Angular; REST; Maven; Cassandra; Splunk; GIT; Junit; Functional Testing.
Job Location: 8181 Communications Pkwy, Plano, TX 75024 . Telecommuting permitted up to 40% of the week.
ABOUT US

Chase is a leading financial services firm, helping nearly half of America’s households and small businesses achieve their financial goals through a broad range of financial products. Our mission is to create engaged, lifelong relationships and put our customers at the heart of everything we do. We also help small businesses, nonprofits and cities grow, delivering solutions to solve all their financial needs.
We offer a competitive total rewards package including base salary determined based on the role, experience, skill set, and location. Those in eligible roles may receive commission-based pay and/or discretionary incentive compensation awarded in recognition of individual achievements and contributions. We also offer a range of benefits and programs to meet employee needs, based on eligibility. These benefits include comprehensive health care coverage, on-site health and wellness centers, a retirement savings plan, backup childcare, tuition reimbursement, mental health support, financial coaching and more. Additional details about total compensation and benefits will be provided during the hiring process.
We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. We also make reasonable accommodations for applicants’ and employees’ religious practices and beliefs, as well as mental health or physical disability needs. Visit our FAQs for more information about requesting an accommodation.
Equal Opportunity Employer/Disability/Veterans



ABOUT THE TEAM

Our Consumer & Community Banking division serves our Chase customers through a range of financial services, including personal banking, credit cards, mortgages, auto financing, investment advice, small business loans and payment processing. We’re proud to lead the U.S. in credit card sales and deposit growth and have the most-used digital solutions – all while ranking first in customer satisfaction."
JPMorganChase,"JOB DESCRIPTION

DESCRIPTION:
Duties: Participate in design and develop scalable and resilient systems. Contribute to continual, iterative improvements for product teams. Design, write, comment and unit test code to confirm high quality software modules. Build Microservices that will run on the bank’s internal cloud and the public cloud platform. Build UI. Write test cases and deploy. Collaborate with teams in multiple regions and time zones. Participate in scrum team stand-ups, and code reviews. Contribute to task completion and blocker resolution. Telecommuting permitted up to 40% of the week.

QUALIFICATIONS:
Minimum education and experience required: Bachelor's degree in Electrical and Electronic Engineering, Computer Science, Computer Engineering, Computer Information Systems, or related field of study plus 5 years of experience in the job offered or as Software Engineer, Java Developer, Full Stack Developer, Associate Consultant, or related occupation.
Skills Required: Requires experience in the following: Microservices; Apache Kafka; J2EE; Jenkins; Spring; Hibernate; Java; Typescript; Angular; REST; Maven; Cassandra; Splunk; GIT; Junit; Functional Testing.
Job Location: 8181 Communications Pkwy, Plano, TX 75024 . Telecommuting permitted up to 40% of the week.
ABOUT US

Chase is a leading financial services firm, helping nearly half of America’s households and small businesses achieve their financial goals through a broad range of financial products. Our mission is to create engaged, lifelong relationships and put our customers at the heart of everything we do. We also help small businesses, nonprofits and cities grow, delivering solutions to solve all their financial needs.
We offer a competitive total rewards package including base salary determined based on the role, experience, skill set, and location. Those in eligible roles may receive commission-based pay and/or discretionary incentive compensation awarded in recognition of individual achievements and contributions. We also offer a range of benefits and programs to meet employee needs, based on eligibility. These benefits include comprehensive health care coverage, on-site health and wellness centers, a retirement savings plan, backup childcare, tuition reimbursement, mental health support, financial coaching and more. Additional details about total compensation and benefits will be provided during the hiring process.
We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. We also make reasonable accommodations for applicants’ and employees’ religious practices and beliefs, as well as mental health or physical disability needs. Visit our FAQs for more information about requesting an accommodation.
Equal Opportunity Employer/Disability/Veterans



ABOUT THE TEAM

Our Consumer & Community Banking division serves our Chase customers through a range of financial services, including personal banking, credit cards, mortgages, auto financing, investment advice, small business loans and payment processing. We’re proud to lead the U.S. in credit card sales and deposit growth and have the most-used digital solutions – all while ranking first in customer satisfaction."
JPMorganChase,"JOB DESCRIPTION

DESCRIPTION:
Duties: Participate in design and develop scalable and resilient systems. Contribute to continual, iterative improvements for product teams. Design, write, comment and unit test code to confirm high quality software modules. Build Microservices that will run on the bank’s internal cloud and the public cloud platform. Build UI. Write test cases and deploy. Collaborate with teams in multiple regions and time zones. Participate in scrum team stand-ups, and code reviews. Contribute to task completion and blocker resolution. Telecommuting permitted up to 40% of the week.

QUALIFICATIONS:
Minimum education and experience required: Bachelor's degree in Electrical and Electronic Engineering, Computer Science, Computer Engineering, Computer Information Systems, or related field of study plus 5 years of experience in the job offered or as Software Engineer, Java Developer, Full Stack Developer, Associate Consultant, or related occupation.
Skills Required: Requires experience in the following: Microservices; Apache Kafka; J2EE; Jenkins; Spring; Hibernate; Java; Typescript; Angular; REST; Maven; Cassandra; Splunk; GIT; Junit; Functional Testing.
Job Location: 8181 Communications Pkwy, Plano, TX 75024 . Telecommuting permitted up to 40% of the week.
ABOUT US

Chase is a leading financial services firm, helping nearly half of America’s households and small businesses achieve their financial goals through a broad range of financial products. Our mission is to create engaged, lifelong relationships and put our customers at the heart of everything we do. We also help small businesses, nonprofits and cities grow, delivering solutions to solve all their financial needs.
We offer a competitive total rewards package including base salary determined based on the role, experience, skill set, and location. Those in eligible roles may receive commission-based pay and/or discretionary incentive compensation awarded in recognition of individual achievements and contributions. We also offer a range of benefits and programs to meet employee needs, based on eligibility. These benefits include comprehensive health care coverage, on-site health and wellness centers, a retirement savings plan, backup childcare, tuition reimbursement, mental health support, financial coaching and more. Additional details about total compensation and benefits will be provided during the hiring process.
We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. We also make reasonable accommodations for applicants’ and employees’ religious practices and beliefs, as well as mental health or physical disability needs. Visit our FAQs for more information about requesting an accommodation.
Equal Opportunity Employer/Disability/Veterans



ABOUT THE TEAM

Our Consumer & Community Banking division serves our Chase customers through a range of financial services, including personal banking, credit cards, mortgages, auto financing, investment advice, small business loans and payment processing. We’re proud to lead the U.S. in credit card sales and deposit growth and have the most-used digital solutions – all while ranking first in customer satisfaction."
JPMorganChase,"JOB DESCRIPTION

DESCRIPTION:
Duties: Participate in design and develop scalable and resilient systems. Contribute to continual, iterative improvements for product teams. Design, write, comment and unit test code to confirm high quality software modules. Build Microservices that will run on the bank’s internal cloud and the public cloud platform. Build UI. Write test cases and deploy. Collaborate with teams in multiple regions and time zones. Participate in scrum team stand-ups, and code reviews. Contribute to task completion and blocker resolution. Telecommuting permitted up to 40% of the week.

QUALIFICATIONS:
Minimum education and experience required: Bachelor's degree in Electrical and Electronic Engineering, Computer Science, Computer Engineering, Computer Information Systems, or related field of study plus 5 years of experience in the job offered or as Software Engineer, Java Developer, Full Stack Developer, Associate Consultant, or related occupation.
Skills Required: Requires experience in the following: Microservices; Apache Kafka; J2EE; Jenkins; Spring; Hibernate; Java; Typescript; Angular; REST; Maven; Cassandra; Splunk; GIT; Junit; Functional Testing.
Job Location: 8181 Communications Pkwy, Plano, TX 75024 . Telecommuting permitted up to 40% of the week.
ABOUT US

Chase is a leading financial services firm, helping nearly half of America’s households and small businesses achieve their financial goals through a broad range of financial products. Our mission is to create engaged, lifelong relationships and put our customers at the heart of everything we do. We also help small businesses, nonprofits and cities grow, delivering solutions to solve all their financial needs.
We offer a competitive total rewards package including base salary determined based on the role, experience, skill set, and location. Those in eligible roles may receive commission-based pay and/or discretionary incentive compensation awarded in recognition of individual achievements and contributions. We also offer a range of benefits and programs to meet employee needs, based on eligibility. These benefits include comprehensive health care coverage, on-site health and wellness centers, a retirement savings plan, backup childcare, tuition reimbursement, mental health support, financial coaching and more. Additional details about total compensation and benefits will be provided during the hiring process.
We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. We also make reasonable accommodations for applicants’ and employees’ religious practices and beliefs, as well as mental health or physical disability needs. Visit our FAQs for more information about requesting an accommodation.
Equal Opportunity Employer/Disability/Veterans



ABOUT THE TEAM

Our Consumer & Community Banking division serves our Chase customers through a range of financial services, including personal banking, credit cards, mortgages, auto financing, investment advice, small business loans and payment processing. We’re proud to lead the U.S. in credit card sales and deposit growth and have the most-used digital solutions – all while ranking first in customer satisfaction."
eGain,"Fortune 500 clients trust eGain AI knowledge solution to improve customer experience and reduce cost of service. Top rated by Gartner, eGain AI Knowledge Hub orchestrates AI and experts to deliver trusted answers to customers, agents, and field staff.
We dream big and sweat details. We are diverse, optimistic, and tenacious. We take pride in what we do but we don’t take ourselves too seriously. If work is fun for you, talk to us. We will not waste your time.
Duties/Responsibilities
Full Stack Development: Design, develop, and maintain web applications’ front-end and back-end components.
Technical Leadership: Mentor junior developers and guide best practices and processes.
Architecture & Design: Define technical requirements and architecture with product managers and designers.
Code Review & QA: Conduct code reviews, write unit tests, and ensure high-quality, scalable code.
Continuous Improvement: Implement process improvements and stay updated with industry trends and technologies.
Collaboration: Work with cross-functional teams for a seamless development process.
Education and Experience
Master’s degree in Computer Science or a related field from a top-tier university.
5-7 years in full stack development, preferably in a startup.
Front-End: Proficient in HTML, CSS, JavaScript, and frameworks like React, Angular, or Vue.js.
Back-End: Experienced with Node.js, Python, Ruby, or Java, and frameworks like Express, Django, or Spring.
Database: Skilled with MySQL, PostgreSQL, and NoSQL databases like MongoDB.
DevOps: Familiar with AWS, Azure, GCP, CI/CD pipelines, and containerization (Docker, Kubernetes).
Our Hiring Process is “Easy with eGain”
Step 1
Written test (takes 120 minutes)
Aptitude section
Functional section
We will let you know within 2 business days of your taking the test if you have progressed to the interview stage. The interview will be scheduled no later than 7 calendar days after the test.
Step 2
Panel interview (max 60 minutes)
Next step
Email your resumé to
hiring@egain.com
with the position title “Senior Full Stack Developer” in the email subject.
Compensation
The base salary range is $100,000 to $180,000. Your base salary will be determined based on your location, experience, and the pay of employees in similar positions.
Performance-based bonuses are tied to individual and company performance.
Comprehensive benefits package, including health insurance, retirement plans, and paid time off.
Restricted stock or stock option grants, subject to company policies and performance.
Please note that the compensation package can vary based on the candidate’s qualifications and experience level."
eGain,"Fortune 500 clients trust eGain AI knowledge solution to improve customer experience and reduce cost of service. Top rated by Gartner, eGain AI Knowledge Hub orchestrates AI and experts to deliver trusted answers to customers, agents, and field staff.
We dream big and sweat details. We are diverse, optimistic, and tenacious. We take pride in what we do but we don’t take ourselves too seriously. If work is fun for you, talk to us. We will not waste your time.
Duties/Responsibilities
Full Stack Development: Design, develop, and maintain web applications’ front-end and back-end components.
Technical Leadership: Mentor junior developers and guide best practices and processes.
Architecture & Design: Define technical requirements and architecture with product managers and designers.
Code Review & QA: Conduct code reviews, write unit tests, and ensure high-quality, scalable code.
Continuous Improvement: Implement process improvements and stay updated with industry trends and technologies.
Collaboration: Work with cross-functional teams for a seamless development process.
Education and Experience
Master’s degree in Computer Science or a related field from a top-tier university.
5-7 years in full stack development, preferably in a startup.
Front-End: Proficient in HTML, CSS, JavaScript, and frameworks like React, Angular, or Vue.js.
Back-End: Experienced with Node.js, Python, Ruby, or Java, and frameworks like Express, Django, or Spring.
Database: Skilled with MySQL, PostgreSQL, and NoSQL databases like MongoDB.
DevOps: Familiar with AWS, Azure, GCP, CI/CD pipelines, and containerization (Docker, Kubernetes).
Our Hiring Process is “Easy with eGain”
Step 1
Written test (takes 120 minutes)
Aptitude section
Functional section
We will let you know within 2 business days of your taking the test if you have progressed to the interview stage. The interview will be scheduled no later than 7 calendar days after the test.
Step 2
Panel interview (max 60 minutes)
Next step
Email your resumé to
hiring@egain.com
with the position title “Senior Full Stack Developer” in the email subject.
Compensation
The base salary range is $100,000 to $180,000. Your base salary will be determined based on your location, experience, and the pay of employees in similar positions.
Performance-based bonuses are tied to individual and company performance.
Comprehensive benefits package, including health insurance, retirement plans, and paid time off.
Restricted stock or stock option grants, subject to company policies and performance.
Please note that the compensation package can vary based on the candidate’s qualifications and experience level."
eGain,"Fortune 500 clients trust eGain AI knowledge solution to improve customer experience and reduce cost of service. Top rated by Gartner, eGain AI Knowledge Hub orchestrates AI and experts to deliver trusted answers to customers, agents, and field staff.
We dream big and sweat details. We are diverse, optimistic, and tenacious. We take pride in what we do but we don’t take ourselves too seriously. If work is fun for you, talk to us. We will not waste your time.
Duties/Responsibilities
Full Stack Development: Design, develop, and maintain web applications’ front-end and back-end components.
Technical Leadership: Mentor junior developers and guide best practices and processes.
Architecture & Design: Define technical requirements and architecture with product managers and designers.
Code Review & QA: Conduct code reviews, write unit tests, and ensure high-quality, scalable code.
Continuous Improvement: Implement process improvements and stay updated with industry trends and technologies.
Collaboration: Work with cross-functional teams for a seamless development process.
Education and Experience
Master’s degree in Computer Science or a related field from a top-tier university.
5-7 years in full stack development, preferably in a startup.
Front-End: Proficient in HTML, CSS, JavaScript, and frameworks like React, Angular, or Vue.js.
Back-End: Experienced with Node.js, Python, Ruby, or Java, and frameworks like Express, Django, or Spring.
Database: Skilled with MySQL, PostgreSQL, and NoSQL databases like MongoDB.
DevOps: Familiar with AWS, Azure, GCP, CI/CD pipelines, and containerization (Docker, Kubernetes).
Our Hiring Process is “Easy with eGain”
Step 1
Written test (takes 120 minutes)
Aptitude section
Functional section
We will let you know within 2 business days of your taking the test if you have progressed to the interview stage. The interview will be scheduled no later than 7 calendar days after the test.
Step 2
Panel interview (max 60 minutes)
Next step
Email your resumé to
hiring@egain.com
with the position title “Senior Full Stack Developer” in the email subject.
Compensation
The base salary range is $100,000 to $180,000. Your base salary will be determined based on your location, experience, and the pay of employees in similar positions.
Performance-based bonuses are tied to individual and company performance.
Comprehensive benefits package, including health insurance, retirement plans, and paid time off.
Restricted stock or stock option grants, subject to company policies and performance.
Please note that the compensation package can vary based on the candidate’s qualifications and experience level."
eGain,"Fortune 500 clients trust eGain AI knowledge solution to improve customer experience and reduce cost of service. Top rated by Gartner, eGain AI Knowledge Hub orchestrates AI and experts to deliver trusted answers to customers, agents, and field staff.
We dream big and sweat details. We are diverse, optimistic, and tenacious. We take pride in what we do but we don’t take ourselves too seriously. If work is fun for you, talk to us. We will not waste your time.
Duties/Responsibilities
Full Stack Development: Design, develop, and maintain web applications’ front-end and back-end components.
Technical Leadership: Mentor junior developers and guide best practices and processes.
Architecture & Design: Define technical requirements and architecture with product managers and designers.
Code Review & QA: Conduct code reviews, write unit tests, and ensure high-quality, scalable code.
Continuous Improvement: Implement process improvements and stay updated with industry trends and technologies.
Collaboration: Work with cross-functional teams for a seamless development process.
Education and Experience
Master’s degree in Computer Science or a related field from a top-tier university.
5-7 years in full stack development, preferably in a startup.
Front-End: Proficient in HTML, CSS, JavaScript, and frameworks like React, Angular, or Vue.js.
Back-End: Experienced with Node.js, Python, Ruby, or Java, and frameworks like Express, Django, or Spring.
Database: Skilled with MySQL, PostgreSQL, and NoSQL databases like MongoDB.
DevOps: Familiar with AWS, Azure, GCP, CI/CD pipelines, and containerization (Docker, Kubernetes).
Our Hiring Process is “Easy with eGain”
Step 1
Written test (takes 120 minutes)
Aptitude section
Functional section
We will let you know within 2 business days of your taking the test if you have progressed to the interview stage. The interview will be scheduled no later than 7 calendar days after the test.
Step 2
Panel interview (max 60 minutes)
Next step
Email your resumé to
hiring@egain.com
with the position title “Senior Full Stack Developer” in the email subject.
Compensation
The base salary range is $100,000 to $180,000. Your base salary will be determined based on your location, experience, and the pay of employees in similar positions.
Performance-based bonuses are tied to individual and company performance.
Comprehensive benefits package, including health insurance, retirement plans, and paid time off.
Restricted stock or stock option grants, subject to company policies and performance.
Please note that the compensation package can vary based on the candidate’s qualifications and experience level."
eGain,"Fortune 500 clients trust eGain AI knowledge solution to improve customer experience and reduce cost of service. Top rated by Gartner, eGain AI Knowledge Hub orchestrates AI and experts to deliver trusted answers to customers, agents, and field staff.
We dream big and sweat details. We are diverse, optimistic, and tenacious. We take pride in what we do but we don’t take ourselves too seriously. If work is fun for you, talk to us. We will not waste your time.
Duties/Responsibilities
Full Stack Development: Design, develop, and maintain web applications’ front-end and back-end components.
Technical Leadership: Mentor junior developers and guide best practices and processes.
Architecture & Design: Define technical requirements and architecture with product managers and designers.
Code Review & QA: Conduct code reviews, write unit tests, and ensure high-quality, scalable code.
Continuous Improvement: Implement process improvements and stay updated with industry trends and technologies.
Collaboration: Work with cross-functional teams for a seamless development process.
Education and Experience
Master’s degree in Computer Science or a related field from a top-tier university.
5-7 years in full stack development, preferably in a startup.
Front-End: Proficient in HTML, CSS, JavaScript, and frameworks like React, Angular, or Vue.js.
Back-End: Experienced with Node.js, Python, Ruby, or Java, and frameworks like Express, Django, or Spring.
Database: Skilled with MySQL, PostgreSQL, and NoSQL databases like MongoDB.
DevOps: Familiar with AWS, Azure, GCP, CI/CD pipelines, and containerization (Docker, Kubernetes).
Our Hiring Process is “Easy with eGain”
Step 1
Written test (takes 120 minutes)
Aptitude section
Functional section
We will let you know within 2 business days of your taking the test if you have progressed to the interview stage. The interview will be scheduled no later than 7 calendar days after the test.
Step 2
Panel interview (max 60 minutes)
Next step
Email your resumé to
hiring@egain.com
with the position title “Senior Full Stack Developer” in the email subject.
Compensation
The base salary range is $100,000 to $180,000. Your base salary will be determined based on your location, experience, and the pay of employees in similar positions.
Performance-based bonuses are tied to individual and company performance.
Comprehensive benefits package, including health insurance, retirement plans, and paid time off.
Restricted stock or stock option grants, subject to company policies and performance.
Please note that the compensation package can vary based on the candidate’s qualifications and experience level."
eGain,"Fortune 500 clients trust eGain AI knowledge solution to improve customer experience and reduce cost of service. Top rated by Gartner, eGain AI Knowledge Hub orchestrates AI and experts to deliver trusted answers to customers, agents, and field staff.
We dream big and sweat details. We are diverse, optimistic, and tenacious. We take pride in what we do but we don’t take ourselves too seriously. If work is fun for you, talk to us. We will not waste your time.
Duties/Responsibilities
Full Stack Development: Design, develop, and maintain web applications’ front-end and back-end components.
Technical Leadership: Mentor junior developers and guide best practices and processes.
Architecture & Design: Define technical requirements and architecture with product managers and designers.
Code Review & QA: Conduct code reviews, write unit tests, and ensure high-quality, scalable code.
Continuous Improvement: Implement process improvements and stay updated with industry trends and technologies.
Collaboration: Work with cross-functional teams for a seamless development process.
Education and Experience
Master’s degree in Computer Science or a related field from a top-tier university.
5-7 years in full stack development, preferably in a startup.
Front-End: Proficient in HTML, CSS, JavaScript, and frameworks like React, Angular, or Vue.js.
Back-End: Experienced with Node.js, Python, Ruby, or Java, and frameworks like Express, Django, or Spring.
Database: Skilled with MySQL, PostgreSQL, and NoSQL databases like MongoDB.
DevOps: Familiar with AWS, Azure, GCP, CI/CD pipelines, and containerization (Docker, Kubernetes).
Our Hiring Process is “Easy with eGain”
Step 1
Written test (takes 120 minutes)
Aptitude section
Functional section
We will let you know within 2 business days of your taking the test if you have progressed to the interview stage. The interview will be scheduled no later than 7 calendar days after the test.
Step 2
Panel interview (max 60 minutes)
Next step
Email your resumé to
hiring@egain.com
with the position title “Senior Full Stack Developer” in the email subject.
Compensation
The base salary range is $100,000 to $180,000. Your base salary will be determined based on your location, experience, and the pay of employees in similar positions.
Performance-based bonuses are tied to individual and company performance.
Comprehensive benefits package, including health insurance, retirement plans, and paid time off.
Restricted stock or stock option grants, subject to company policies and performance.
Please note that the compensation package can vary based on the candidate’s qualifications and experience level."
eGain,"Fortune 500 clients trust eGain AI knowledge solution to improve customer experience and reduce cost of service. Top rated by Gartner, eGain AI Knowledge Hub orchestrates AI and experts to deliver trusted answers to customers, agents, and field staff.
We dream big and sweat details. We are diverse, optimistic, and tenacious. We take pride in what we do but we don’t take ourselves too seriously. If work is fun for you, talk to us. We will not waste your time.
Duties/Responsibilities
Full Stack Development: Design, develop, and maintain web applications’ front-end and back-end components.
Technical Leadership: Mentor junior developers and guide best practices and processes.
Architecture & Design: Define technical requirements and architecture with product managers and designers.
Code Review & QA: Conduct code reviews, write unit tests, and ensure high-quality, scalable code.
Continuous Improvement: Implement process improvements and stay updated with industry trends and technologies.
Collaboration: Work with cross-functional teams for a seamless development process.
Education and Experience
Master’s degree in Computer Science or a related field from a top-tier university.
5-7 years in full stack development, preferably in a startup.
Front-End: Proficient in HTML, CSS, JavaScript, and frameworks like React, Angular, or Vue.js.
Back-End: Experienced with Node.js, Python, Ruby, or Java, and frameworks like Express, Django, or Spring.
Database: Skilled with MySQL, PostgreSQL, and NoSQL databases like MongoDB.
DevOps: Familiar with AWS, Azure, GCP, CI/CD pipelines, and containerization (Docker, Kubernetes).
Our Hiring Process is “Easy with eGain”
Step 1
Written test (takes 120 minutes)
Aptitude section
Functional section
We will let you know within 2 business days of your taking the test if you have progressed to the interview stage. The interview will be scheduled no later than 7 calendar days after the test.
Step 2
Panel interview (max 60 minutes)
Next step
Email your resumé to
hiring@egain.com
with the position title “Senior Full Stack Developer” in the email subject.
Compensation
The base salary range is $100,000 to $180,000. Your base salary will be determined based on your location, experience, and the pay of employees in similar positions.
Performance-based bonuses are tied to individual and company performance.
Comprehensive benefits package, including health insurance, retirement plans, and paid time off.
Restricted stock or stock option grants, subject to company policies and performance.
Please note that the compensation package can vary based on the candidate’s qualifications and experience level."
